"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","63",100,117.78,NA,NA,239.56,247.33,0.945815667510033,3.87485085427761,NA
"TD","64",100,91.15,NA,NA,186.3,194.07,0.961960988372538,1.13617632918169,NA
"TD","65",100,173.71,NA,NA,351.42,359.19,0.972151544691883,0.733982644199485,NA
"TD","67",100,148.48,NA,NA,300.96,308.73,0.0605921439368199,0.719399296127971,NA
"TD","68",100,214.21,NA,NA,432.42,440.19,0.90032624737285,0.792673060511171,NA
"TD","69",100,316.6,NA,NA,637.2,644.97,0.0566332453814603,0.0698124232052323,NA
"TD","70",100,134.82,NA,NA,273.64,281.41,0.972151544691883,0.733982644199485,NA
"TD","71",100,233.61,NA,NA,471.22,478.99,0.0566332453814603,0.0698124232052323,NA
"TD","72",100,325.5,NA,NA,655,662.77,0.0566332453814603,0.0698124232052323,NA
"TD","73",100,138.34,NA,NA,280.68,288.45,0.961960988372538,1.13617632918169,NA
"TD","74",100,924.42,NA,NA,1852.84,1860.61,0.0605921439368199,0.719399296127971,NA
"TD","75",100,106.6,NA,NA,217.2,224.97,0.961960988372538,1.13617632918169,NA
"TD","76",100,259.73,NA,NA,523.46,531.23,0.261743145575894,0.185087356514103,NA
"TD","77",100,164.72,NA,NA,333.44,341.21,0.972151544691883,0.733982644199485,NA
"TD","78",100,110.69,NA,NA,225.38,233.15,0.961960988372538,1.13617632918169,NA
"TD","79",100,154,NA,NA,312,319.77,0.960376838031842,0.77035161859443,NA
"TD","80",100,137.42,NA,NA,278.84,286.61,0.0605921439368199,0.719399296127971,NA
"TD","81",100,158.87,NA,NA,321.74,329.51,0.967139508579186,1.18689832015166,NA
"TD","82",100,157.6,NA,NA,319.2,326.97,0.961960988372538,1.13617632918169,NA
"TD","83",100,157.07,NA,NA,318.14,325.91,0.972151544691883,0.733982644199485,NA
"TD","84",100,136.23,NA,NA,276.46,284.23,0.969949380880357,1.21178287833131,NA
"TD","85",100,197.19,NA,NA,398.38,406.15,0.972151544691883,0.733982644199485,NA
