"simulate_model","fit_model","iteration","ACC","LogL","LogPr","LogPo","AIC","BIC","input_param_1","input_param_2","output_param_1","output_param_2","output_param_3","input_param_3"
"TD","TD",1,100,-112.89,NA,NA,229.78,237.55,0.643091264180839,0.83357874206723,0.789150981953382,0.813636556655826,NA,NA
"TD","TD",2,100,-95.06,NA,NA,194.12,201.89,0.724670132622123,1.43561604238095,0.800525795133945,1.09388117585058,NA,NA
"TD","TD",3,100,-105.35,NA,NA,214.7,222.47,0.950232450617477,2.03779015681686,0.88260439726684,2.59700734177902,NA,NA
"TD","TD",4,100,-201.51,NA,NA,407.02,414.79,0.682289758697152,0.0720224548131227,0.774294060022385,0.06595450266992,NA,NA
"TD","TD",5,100,-129.68,NA,NA,263.36,271.13,0.200363578274846,1.00568439900399,0.138205830057354,0.948545086426829,NA,NA
"TD","TD",6,100,-170.49,NA,NA,344.98,352.75,0.321220333920792,0.298665664158762,0.186531691220458,0.323175106066019,NA,NA
"TD","TD",7,100,-213.85,NA,NA,431.7,439.47,0.571441247593611,0.0502132950350642,0.766815073734013,0.0446132868107315,NA,NA
"TD","TD",8,100,-140.39,NA,NA,284.78,292.55,0.973066303646192,0.392999498639256,0.84352319079229,0.417783361495382,NA,NA
"TD","TD",9,100,-249.53,NA,NA,503.06,510.83,0.895209939451888,0.0054737395918251,0.0335888592572273,1.79693369308562e-08,NA,NA
"TD","TD",10,100,-161.95,NA,NA,327.9,335.67,0.0494146177079529,0.507862410508096,0.0453896650233305,0.550942310768867,NA,NA
"TD","TD",11,100,-201.53,NA,NA,407.06,414.83,0.197620301274583,0.18983699940145,0.0886775429200247,0.186168806490294,NA,NA
"TD","TD",12,100,-194.69,NA,NA,393.38,401.15,0.0560640415642411,0.566026730462909,0.0525351553234966,0.632019228317562,NA,NA
"TD","TD",13,100,-139.11,NA,NA,282.22,289.99,0.051307131536305,1.23247370731968,0.0431926809578733,1.6262115347815,NA,NA
"TD","TD",14,100,-177.67,NA,NA,359.34,367.11,0.989872474921867,0.208000437050192,0.810896215718245,0.208227158001045,NA,NA
"TD","TD",15,100,-140.01,NA,NA,284.02,291.79,0.711294803768396,0.57632797351107,0.730478045302379,0.586987536838383,NA,NA
"TD","TD",16,100,-249.53,NA,NA,503.06,510.83,0.0768930825870484,0.00966986734420061,0.0370853409416966,5.51068691726757e-08,NA,NA
"TD","TD",17,100,-90.85,NA,NA,185.7,193.47,0.797194604296237,2.5054881726885,0.824074405000264,1.660872818793,NA,NA
"TD","TD",18,100,-98.88,NA,NA,201.76,209.53,0.731893435353413,1.27495420533688,0.804165442165019,1.11362644002999,NA,NA
"TD","TD",19,100,-106.77,NA,NA,217.54,225.31,0.809085062006488,0.797056699129653,0.798874586738295,0.89999624806666,NA,NA
"TD","TD",20,100,-111.58,NA,NA,227.16,234.93,0.511981163173914,2.39124982816227,0.20858534889138,0.921449319271881,NA,NA
"TD","TD",21,100,-116.71,NA,NA,237.42,245.19,0.226354157319292,1.66897989056053,0.146510931898263,1.09357122605767,NA,NA
"TD","TD",22,100,-127.4,NA,NA,258.8,266.57,0.300222688354552,0.955442077438247,0.154246146958439,0.930416434385259,NA,NA
"TD","TD",23,100,-105.35,NA,NA,214.7,222.47,0.984172471100464,1.69604673600736,0.88260439726684,2.59700734177902,NA,NA
"TD","TD",24,100,-174.49,NA,NA,352.98,360.75,0.540354023920372,0.234106497689865,0.233329543277731,0.257807868628603,NA,NA
"TD","TD",25,100,-157.37,NA,NA,318.74,326.51,0.870058757020161,0.327183235902339,0.815239989676688,0.319945776073277,NA,NA
"TD","TD",26,100,-109.54,NA,NA,223.08,230.85,0.0660558908712119,1.97567781611326,0.0602581454106445,2.0944668264786,NA,NA
"TD","TD",27,100,-168.49,NA,NA,340.98,348.75,0.973287776112556,0.260513227898628,0.835338710687693,0.270542438600356,NA,NA
"TD","TD",28,100,-126.34,NA,NA,256.68,264.45,0.290595552418381,1.05573849655212,0.155174352769396,0.930849893536567,NA,NA
"TD","TD",29,100,-175.23,NA,NA,354.46,362.23,0.988910319516435,0.211397308856249,0.817046923433119,0.223451462562923,NA,NA
"TD","TD",30,100,-115.18,NA,NA,234.36,242.13,0.329378831898794,2.0851063261411,0.191062120151511,1.05179662429163,NA,NA
"TD","TD",31,100,-137.1,NA,NA,278.2,285.97,0.11878991080448,0.835414388175023,0.0919079166780515,1.02164835160869,NA,NA
"TD","TD",32,100,-176.44,NA,NA,356.88,364.65,0.0508385861758143,0.410096168983728,0.0465416301008218,0.420421268106077,NA,NA
"TD","TD",33,100,-115.86,NA,NA,235.72,243.49,0.684979062527418,0.756628525771442,0.783841945977794,0.77917555853223,NA,NA
"TD","TD",34,100,-201.27,NA,NA,406.54,414.31,0.842564480379224,0.0599249633960426,0.785990431750862,0.0653452777582039,NA,NA
"TD","TD",35,100,-114.31,NA,NA,232.62,240.39,0.27115519088693,2.69503675574873,0.182475856040116,1.08435318972915,NA,NA
"TD","TD",36,100,-124.09,NA,NA,252.18,259.95,0.779200294986367,0.457588243763894,0.806905851565675,0.484062322085013,NA,NA
"TD","TD",37,100,-105.35,NA,NA,214.7,222.47,0.982565350597724,3.92570209977795,0.88260439726684,2.59700734177902,NA,NA
"TD","TD",38,100,-175.28,NA,NA,354.56,362.33,0.533772448310629,0.225168376229703,0.224124642864063,0.260082528098606,NA,NA
"TD","TD",39,100,-124.76,NA,NA,253.52,261.29,0.128862570039928,1.75030500992181,0.112305477430469,1.14911003399563,NA,NA
"TD","TD",40,100,-202.69,NA,NA,409.38,417.15,0.420502026332542,0.0828633031448371,0.682556350451131,0.062524761385703,NA,NA
"TD","TD",41,100,-110.12,NA,NA,224.24,232.01,0.860091791022569,1.2001721150753,0.833486608903688,0.941976233836929,NA,NA
"TD","TD",42,100,-157.88,NA,NA,319.76,327.53,0.633000507717952,0.316391955215622,0.698418045125564,0.299998049595764,NA,NA
"TD","TD",43,100,-111.58,NA,NA,227.16,234.93,0.512010124279186,2.01376353887389,0.20858534889138,0.921449319271881,NA,NA
"TD","TD",44,100,-112.53,NA,NA,229.06,236.83,0.4054856733419,3.89528230370438,0.281175302712551,1.0239057386139,NA,NA
"TD","TD",45,100,-177.83,NA,NA,359.66,367.43,0.319981756620109,0.264156529679894,0.177974865245378,0.288511505699283,NA,NA
"TD","TD",46,100,-112.8,NA,NA,229.6,237.37,0.947748523205519,1.36391219958187,0.863050712462743,1.03945265542758,NA,NA
"TD","TD",47,100,-116.65,NA,NA,237.3,245.07,0.885661983396858,1.4762263855988,0.846030258807455,0.950889754984763,NA,NA
"TD","TD",48,100,-199.86,NA,NA,403.72,411.49,0.119032545015216,0.210982074495405,0.0691042644258762,0.218968424380896,NA,NA
"TD","TD",49,100,-131.15,NA,NA,266.3,274.07,0.931592519162223,0.648705839645118,0.864701671991452,0.739998261313083,NA,NA
"TD","TD",50,100,-90.85,NA,NA,185.7,193.47,0.753800751408562,2.89878896835935,0.824074405000264,1.660872818793,NA,NA
"TD","TD",51,100,-178.2,NA,NA,360.4,368.17,0.080542077543214,0.38312963815406,0.0657626311884303,0.395293262674172,NA,NA
"TD","TD",52,100,-192.62,NA,NA,389.24,397.01,0.0462017410900444,0.577519766520709,0.0443814288511793,0.643409226934703,NA,NA
"TD","TD",53,100,-118.58,NA,NA,241.16,248.93,0.407168375095353,0.8810732345608,0.178282260200329,0.855383443497658,NA,NA
"TD","TD",54,100,-138.71,NA,NA,281.42,289.19,0.960197768406942,0.629818245768547,0.888528626583704,0.717275760930704,NA,NA
"TD","TD",55,100,-199.66,NA,NA,403.32,411.09,0.745619997614995,0.0838289222957155,0.747129677494597,0.0705568667090483,NA,NA
"TD","TD",56,100,-193.58,NA,NA,391.16,398.93,0.387793875532225,0.184212701395154,0.204417507849533,0.17968283871191,NA,NA
"TD","TD",57,100,-156.7,NA,NA,317.4,325.17,0.640330957481638,0.323464683257043,0.704578840658862,0.302262797173915,NA,NA
"TD","TD",58,100,-193.2,NA,NA,390.4,398.17,0.46626549679786,0.183777129743248,0.20339698651466,0.19415190051971,NA,NA
"TD","TD",59,100,-101.23,NA,NA,206.46,214.23,0.781977394130081,1.17335850927503,0.817427985426428,1.08555363227038,NA,NA
"TD","TD",60,100,-203.88,NA,NA,411.76,419.53,0.185236022341996,0.162097267924749,0.113597736480348,0.133066835589836,NA,NA
"TD","TD",61,100,-181.34,NA,NA,366.68,374.45,0.703108243644238,0.190494351089001,0.751196022003467,0.155661211601124,NA,NA
"TD","TD",62,100,-112.3,NA,NA,228.6,236.37,0.540940156206489,1.71158919288757,0.348880974809189,0.913684396999221,NA,NA
"TD","TD",63,100,-112.87,NA,NA,229.74,237.51,0.265401779906824,1.94766673623564,0.17661907423592,1.10735605254698,NA,NA
"TD","TD",64,100,-177.73,NA,NA,359.46,367.23,0.897607917198911,0.209870352875441,0.794240438207506,0.202799778816395,NA,NA
"TD","TD",65,100,-214.48,NA,NA,432.96,440.73,0.398145136190578,0.0485801249742508,0.771497850248599,0.0431485269215571,NA,NA
"TD","TD",66,100,-144.46,NA,NA,292.92,300.69,0.470244030002505,0.370898498687893,0.661855673775019,0.355403430158122,NA,NA
"TD","TD",67,100,-101.14,NA,NA,206.28,214.05,0.824348853668198,1.18002879429133,0.814729820221861,1.08460188799646,NA,NA
"TD","TD",68,100,-159.85,NA,NA,323.7,331.47,0.503097830805928,0.322839245665818,0.670986078635323,0.284927688883202,NA,NA
"TD","TD",69,100,-123.77,NA,NA,251.54,259.31,0.361050225095823,1.17336245528878,0.151505946910458,0.983164291108296,NA,NA
"TD","TD",70,100,-182.77,NA,NA,369.54,377.31,0.964988884748891,0.189227518625557,0.827589964906124,0.152647184968122,NA,NA
"TD","TD",71,100,-90.85,NA,NA,185.7,193.47,0.789667062694207,2.04544003671947,0.824074405000264,1.660872818793,NA,NA
"TD","TD",72,100,-95.3,NA,NA,194.6,202.37,0.628910263301805,2.95466302318459,0.828642921235718,1.47947369664731,NA,NA
"TD","TD",73,100,-143.95,NA,NA,291.9,299.67,0.415234696352854,0.710676135453296,0.199726426164351,0.866641221078171,NA,NA
"TD","TD",74,100,-108.25,NA,NA,220.5,228.27,0.857857148861513,0.936107955831003,0.837412872439491,0.9056921913485,NA,NA
