"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","76",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","77",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","78",100,242.38,NA,NA,488.76,496.53,1e-05,1e-05,NA
"TD","79",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","80",100,242.33,NA,NA,488.66,496.43,1e-05,9.99999999499904e-06,NA
"TD","81",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","82",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","83",100,242.36,NA,NA,488.72,496.49,1e-05,1e-05,NA
"TD","84",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","85",100,241.27,NA,NA,486.54,494.31,0.000156128917117955,0.00109821256577481,NA
"TD","86",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","87",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","88",100,242.35,NA,NA,488.7,496.47,1e-05,1e-05,NA
"TD","89",100,122.39,NA,NA,248.78,256.55,1e-05,10,NA
"TD","90",100,193.29,NA,NA,390.58,398.35,0,0.162603879484828,NA
"TD","91",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","92",100,223.93,NA,NA,451.86,459.63,1,10,NA
"TD","93",100,196.23,NA,NA,396.46,404.23,1e-05,10,NA
"TD","94",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","95",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","96",100,242.38,NA,NA,488.76,496.53,9.99999999678198e-06,9.99999999678198e-06,NA
"TD","97",100,85.47,NA,NA,174.94,182.71,1e-05,10,NA
"TD","98",100,242.33,NA,NA,488.66,496.43,1e-05,1e-05,NA
"TD","99",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","100",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","101",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","102",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","103",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","104",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","105",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","106",100,242.38,NA,NA,488.76,496.53,1e-05,1e-05,NA
"TD","107",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","108",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","109",100,153.29,NA,NA,310.58,318.35,0.0239082475938011,0.450909551892348,NA
"TD","110",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","111",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","113",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","114",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","115",100,162.76,NA,NA,329.52,337.29,0.0398991118019645,0.535835924906252,NA
"TD","116",100,242.39,NA,NA,488.78,496.55,1e-05,1e-05,NA
"TD","117",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","118",100,242.38,NA,NA,488.76,496.53,1e-05,1e-05,NA
"TD","119",100,242.37,NA,NA,488.74,496.51,9.99999999570719e-06,9.99999999570719e-06,NA
"TD","120",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","121",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","122",100,181.71,NA,NA,367.42,375.19,1e-05,10,NA
"TD","123",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","124",100,242.36,NA,NA,488.72,496.49,1e-05,1e-05,NA
"TD","125",100,89.4,NA,NA,182.8,190.57,1e-05,10,NA
"TD","126",100,136.24,NA,NA,276.48,284.25,1,5.00181500457324,NA
"TD","127",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","128",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","129",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"RSTD","1",100,242.4,NA,NA,490.8,502.46,1e-05,1e-05,0
"RSTD","2",100,160.54,NA,NA,327.08,338.74,0,0,0.298149507058901
