"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","69",100,240.13,NA,NA,484.26,492.03,1e-05,0.00430529580144199,NA
"TD","70",100,77.82,NA,NA,159.64,167.41,0,0.759350001811981,NA
"TD","71",100,230.5,NA,NA,465,472.77,0.015561859094305,0.0664742312004566,NA
"TD","72",100,242.21,NA,NA,488.42,496.19,1e-05,6.99728826496768e-05,NA
"TD","73",100,80.25,NA,NA,164.5,172.27,0.00335520884254947,1.42398595064878,NA
"TD","74",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","75",100,63.22,NA,NA,130.44,138.21,0,0.717289838939905,NA
"TD","76",100,238.32,NA,NA,480.64,488.41,0.918644618359394,0.0415807485343218,NA
"TD","77",100,163.16,NA,NA,330.32,338.09,0.933073188236449,0.841966056745827,NA
"TD","78",100,47.85,NA,NA,99.7,107.47,0.00541494124627206,1.27918013974977,NA
"TD","79",100,98.89,NA,NA,201.78,209.55,0,0.869794215083286,NA
"TD","80",100,96.72,NA,NA,197.44,205.21,0.00898380018770695,0.882308664198717,NA
"TD","81",100,103.93,NA,NA,211.86,219.63,0.00478541478514671,5.29877719947035,NA
"TD","82",100,88.59,NA,NA,181.18,188.95,1.3500452041626e-05,1.32558519672602,NA
"TD","83",100,155.39,NA,NA,314.78,322.55,0.994276256587909,0.867596751319408,NA
"TD","84",100,80.58,NA,NA,165.16,172.93,0,1.34295308217406,NA
"TD","85",100,186.64,NA,NA,377.28,385.05,0.987465148147749,0.499238852651954,NA
"TD","86",100,30.09,NA,NA,64.18,71.95,0,9.50143743422814,NA
"TD","87",100,176.69,NA,NA,357.38,365.15,0.0123281953856349,0.639505058526993,NA
"TD","88",100,221.75,NA,NA,447.5,455.27,0.160456544376168,0.03269607315905,NA
"TD","89",100,86.73,NA,NA,177.46,185.23,0,0.590132176876068,NA
"TD","90",100,205.74,NA,NA,415.48,423.25,0.0167399448982906,0.0842245670577288,NA
"TD","91",100,129.34,NA,NA,262.68,270.45,0,0.454494923353195,NA
"TD","92",100,191.79,NA,NA,387.58,395.35,0.936008691678353,0.755022208394388,NA
"TD","93",100,135.19,NA,NA,274.38,282.15,0,0.515126086771488,NA
"TD","94",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","95",100,153,NA,NA,310,317.77,0,1.30348482477712,NA
"TD","96",100,168.1,NA,NA,340.2,347.97,0.00149978786248539,0.458552023636341,NA
"TD","97",100,66.69,NA,NA,137.38,145.15,0.00779949550997117,1.27457611853367,NA
"TD","98",100,163.21,NA,NA,330.42,338.19,0.013008737238124,0.560204658657312,NA
"TD","99",100,94.36,NA,NA,192.72,200.49,0.0132472760471865,9.98092933220323,NA
"TD","100",100,78.45,NA,NA,160.9,168.67,0.00168574602844274,0.887436275536286,NA
"TD","101",100,190.19,NA,NA,384.38,392.15,0,0.14947528205812,NA
"TD","102",100,78.61,NA,NA,161.22,168.99,0.00342216156423092,1.09637940744869,NA
"TD","103",100,111.98,NA,NA,227.96,235.73,0.00202466640621424,1.2432331815362,NA
"TD","104",100,34.71,NA,NA,73.42,81.19,0.00654315203428268,8.67304362356663,NA
"TD","105",100,59.98,NA,NA,123.96,131.73,0.000835242739412934,1.25786995522503,NA
"TD","106",100,90.82,NA,NA,185.64,193.41,0,0.684909783303738,NA
"TD","107",100,154.64,NA,NA,313.28,321.05,0.0307264812290668,1.18801755497952,NA
"TD","108",100,159.38,NA,NA,322.76,330.53,0.0113504642267799,0.343863032489025,NA
"TD","109",100,154.48,NA,NA,312.96,320.73,0.0202114880084991,0.531936412677169,NA
"TD","110",100,66.54,NA,NA,137.08,144.85,0,1.4753243222367,NA
"TD","111",100,116.01,NA,NA,236.02,243.79,0.900308528973255,0.903546184301376,NA
"TD","113",100,131.62,NA,NA,267.24,275.01,0.00119165342766792,3.37757876334945,NA
"TD","114",100,110.65,NA,NA,225.3,233.07,0.00810927696875297,1.2448687334545,NA
"TD","115",100,162.74,NA,NA,329.48,337.25,0.040497883855096,0.549778311031752,NA
"TD","116",100,227.93,NA,NA,459.86,467.63,0.927823168456598,0.900104388594627,NA
"TD","117",100,206.17,NA,NA,416.34,424.11,0.0135209758300334,0.19178631577301,NA
"TD","118",100,74.95,NA,NA,153.9,161.67,0.00425696845923085,1.19385739476229,NA
"TD","119",100,11.63,NA,NA,27.26,35.03,0.00300143007189035,5.06929529085755,NA
"TD","120",100,218.23,NA,NA,440.46,448.23,0.0759128474455792,0.032970680635933,NA
"TD","121",100,163.96,NA,NA,331.92,339.69,0.938736788273445,0.499259255804984,NA
"TD","122",100,117.45,NA,NA,238.9,246.67,0,0.581021779391447,NA
"TD","123",100,107.01,NA,NA,218.02,225.79,0,0.608479630682945,NA
"TD","124",100,154.01,NA,NA,312.02,319.79,0.987569164981323,1.1489173558075,NA
"TD","125",100,78.06,NA,NA,160.12,167.89,0,0.733161699665288,NA
"TD","126",100,122.57,NA,NA,249.14,256.91,0.97202529558831,0.854926764965057,NA
"TD","127",100,68.88,NA,NA,141.76,149.53,0,1.16251397971064,NA
"TD","128",100,228.99,NA,NA,461.98,469.75,0.00228880798363207,0.554449738934636,NA
"TD","129",100,30.09,NA,NA,64.18,71.95,0,7.04317117482424,NA
"RSTD","1",100,238.04,NA,NA,482.08,493.74,0.380502000451088,0.265639907146578,0.021900484819293
"RSTD","2",100,162.33,NA,NA,330.66,342.32,0,0,0.366237634950993
"RSTD","3",100,110.35,NA,NA,226.7,238.36,0.0257155200129091,0.060141384601593,6.51382678374648
"RSTD","4",100,60.47,NA,NA,126.94,138.6,0.0355200482008513,0.196648083627224,1.00914620914578
"RSTD","5",100,240.87,NA,NA,487.74,499.4,0.937074325978756,0.979556090198457,1.78137577940652
"RSTD","6",100,242.4,NA,NA,490.8,502.46,1e-05,1e-05,0
"RSTD","7",100,134.94,NA,NA,275.88,287.54,0.754145670682192,0.975419521331787,0.713331145027491
"RSTD","8",100,107.99,NA,NA,221.98,233.64,0.0610145777463913,0.132027373183519,0.608282492467688
"RSTD","9",100,177.15,NA,NA,360.3,371.96,0.244720432907343,0.937559094280005,0.28089807837522
"RSTD","10",100,104.61,NA,NA,215.22,226.88,0.99750024266541,1,3.18993856012821
"RSTD","11",100,149.56,NA,NA,305.12,316.78,0.93640097581374,0.97827378846705,0.843532579828983
"RSTD","12",100,200.02,NA,NA,406.04,417.7,0.105191502254456,0.439113413915038,0.0892142737838993
"RSTD","13",100,116.44,NA,NA,238.88,250.54,0.779389086121228,0.947207913966849,0.965221361781005
"RSTD","14",100,68.3,NA,NA,142.6,154.26,0.0391991902142763,0.54746600985527,0.705994720360756
"RSTD","15",100,164.44,NA,NA,334.88,346.54,0.283348925411701,0.94596891105175,0.348030086637199
"RSTD","16",100,107.14,NA,NA,220.28,231.94,0.445110086351633,0.890484467148781,9.23412594036961
"RSTD","17",100,193.35,NA,NA,392.7,404.36,0.031080836430192,0.02823463122877,0.241578670460386
"RSTD","18",100,224.11,NA,NA,454.22,465.88,0.207436321095884,0.509188578667818,0.0373734323007904
"RSTD","19",100,235.44,NA,NA,476.88,488.54,0.984554875642061,0.980348989367485,0.31832726230675
"RSTD","20",100,30.05,NA,NA,66.1,77.76,0.00381626666057855,0.967996031045914,2.13903142139316
"RSTD","21",100,24.35,NA,NA,54.7,66.36,0.0522169963442138,0.782420991734398,4.44804266141728
"RSTD","22",100,29.42,NA,NA,64.84,76.5,0.0563713156952872,0.941909801273141,1.17442232267126
"RSTD","23",100,38.22,NA,NA,82.44,94.1,0.0377008691430092,0.945691498056277,0.945255788458886
"RSTD","24",100,99.32,NA,NA,204.64,216.3,1e-05,1e-05,10
"RSTD","25",100,139.84,NA,NA,285.68,297.34,0.560474991798401,0.994583159685135,0.973441262279034
"RSTD","26",100,231.56,NA,NA,469.12,480.78,0.99560443431983,0.927148520946503,0.368861532094449
"RSTD","27",100,124.6,NA,NA,255.2,266.86,0.380451289645862,0.971159547567368,2.74738962195988
"RSTD","28",100,172.49,NA,NA,350.98,362.64,0.91540052741766,0.997835587710142,0.47180843215096
"RSTD","29",100,113.11,NA,NA,232.22,243.88,0.0433501071092905,0.150349553674459,1.18590668755451
"RSTD","31",100,51.57,NA,NA,109.14,120.8,0.00121511518955231,0.807229940983234,1.02362876556469
"RSTD","32",100,180.87,NA,NA,367.74,379.4,0.049625959713012,0.126058258581907,0.230936398970127
"RSTD","34",100,21.46,NA,NA,48.92,60.58,0.0307253450155258,0.51059133457602,2.22706734429812
"RSTD","35",100,135.82,NA,NA,277.64,289.3,0.689433709230798,0.992888689041138,1.01829259825933
"RSTD","36",100,209.57,NA,NA,425.14,436.8,0.418189853429794,0.839025034641963,1.08017672273854
"RSTD","37",100,83.83,NA,NA,173.66,185.32,0.0128545481711626,0.983863845467567,0.544549310121849
"RSTD","38",100,242.4,NA,NA,490.8,502.46,1e-05,1e-05,0
"RSTD","39",100,237.57,NA,NA,481.14,492.8,0.28046094160527,0.865577891469002,0.28089907837522
"RSTD","40",100,132.27,NA,NA,270.54,282.2,0.0425974651589058,0.689241506552207,0.459903170354664
"RSTD","41",100,82.34,NA,NA,170.68,182.34,0.0209761811420321,0.0623839497566223,1.93640071492814
"RSTD","42",100,31.84,NA,NA,69.68,81.34,0.0507328473031521,0.0974970674869837,6.17757066922059
"RSTD","43",100,32.82,NA,NA,71.64,83.3,0.0101637169718742,0.814355707145296,1.17545360885561
"RSTD","44",100,51.54,NA,NA,109.08,120.74,0.012394592165947,0.985993953039269,1.0630963983865
"RSTD","45",100,62.4,NA,NA,130.8,142.46,1e-05,1e-05,10
"RSTD","46",100,143.34,NA,NA,292.68,304.34,0.0372831424424638,0.095685675740242,5.92815327271819
"RSTD","47",100,208.43,NA,NA,422.86,434.52,0.547374129237141,0.988448546966538,1.03167920769954
"RSTD","48",100,182.39,NA,NA,370.78,382.44,0.123070633372618,0.310366852092557,0.353515847353265
"RSTD","49",100,140.88,NA,NA,287.76,299.42,0.912637811154127,0.995282165862591,0.670116168702513
"RSTD","50",100,242.4,NA,NA,490.8,502.46,1e-05,1e-05,0
"RSTD","51",100,118.16,NA,NA,242.32,253.98,0.0613456964492798,0.904535755515099,0.753244852910474
"RSTD","52",100,223.68,NA,NA,453.36,465.02,0.893574225763587,0.984926932025701,0.489719408354282
"RSTD","53",100,159.46,NA,NA,324.92,336.58,0.924906632397324,0.9169702231884,0.569077194908798
"RSTD","54",100,233.45,NA,NA,472.9,484.56,1,0.941728159785271,0.51031359240073
"RSTD","55",100,48.55,NA,NA,103.1,114.76,0.00734624126926064,0.0710283219814301,8.39792357664555
"RSTD","56",100,63.04,NA,NA,132.08,143.74,0.0462836045771837,0.706358396448195,1.10250602802262
"RSTD","57",100,242.4,NA,NA,490.8,502.46,1e-05,1e-05,0
"RSTD","58",100,77.86,NA,NA,161.72,173.38,0.0420982960524238,0.10341651245741,1.89638565318489
"RSTD","59",100,64.86,NA,NA,135.72,147.38,0.03024697676301,0.966542295908539,1.06926607178354
"RSTD","60",100,116.7,NA,NA,239.4,251.06,0.152815632747648,0.278990909922868,0.498741675649166
"RSTD","61",100,216.7,NA,NA,439.4,451.06,0.967393201804953,0.980706349015236,0.650798056049436
"RSTD","62",100,194.79,NA,NA,395.58,407.24,0.0208099166376132,1e-05,0.355934052451478
"RSTD","63",100,48.55,NA,NA,103.1,114.76,0.0159661062061787,0.79070658236742,7.12958114594221
"RSTD","64",100,34.54,NA,NA,75.08,86.74,0.0150655446341261,0.0402841045288369,1.54077484418985
"RSTD","65",100,172.22,NA,NA,350.44,362.1,0.81535999441985,0.975195179722505,0.882701213479206
"RSTD","67",100,113.17,NA,NA,232.34,244,0.0442174733616412,0.0827324866687176,0.74317401951009
"RSTD","68",100,206.72,NA,NA,419.44,431.1,0.559872023761272,0.89235456410097,0.572484734494083
"RSTD","69",100,240.13,NA,NA,486.26,497.92,1e-05,1e-05,0.00430529580144199
"RSTD","70",100,78.52,NA,NA,163.04,174.7,0.010148398578167,0.337263137879745,0.837462587552965
"RSTD","71",100,212.26,NA,NA,430.52,442.18,7.40619062624636e-06,0.0291449997847336,0.366123009901654
"RSTD","72",100,242.21,NA,NA,490.42,502.08,1e-05,1e-05,6.99728826496768e-05
"RSTD","73",100,79.11,NA,NA,164.22,175.88,0.00541337393224239,0.0228012257866794,1.31575604776231
"RSTD","74",100,242.4,NA,NA,490.8,502.46,1e-05,1e-05,0
"RSTD","75",100,106.79,NA,NA,219.58,231.24,0.95494186419819,0.921094217337668,1.24748770147562
"RSTD","76",100,242.4,NA,NA,490.8,502.46,1e-05,1e-05,0
"RSTD","77",100,169.46,NA,NA,344.92,356.58,0.937597235737485,0.899784356355667,1.21069604559341
"RSTD","78",100,45.67,NA,NA,97.34,109,0.0172323733568192,0.0436688736081123,1.50555869616801
"RSTD","79",100,159.11,NA,NA,324.22,335.88,0.981853910590871,0.991604864597321,0.539429164762497
"RSTD","80",100,93.81,NA,NA,193.62,205.28,0.0155690610408783,0.0495063067064621,0.618816566893995
"RSTD","81",100,101.74,NA,NA,209.48,221.14,0.0453232333529741,0.490014774328301,1.46097294567153
"RSTD","82",100,88.5,NA,NA,183,194.66,0.0196684699039906,0.732148379087448,1.24857080727816
"RSTD","83",100,156.79,NA,NA,319.58,331.24,0.984444417059422,0.998317986726761,0.933950113875082
"RSTD","84",100,80.86,NA,NA,167.72,179.38,0.0417914179852232,0.828407920897007,7.48593402653933
"RSTD","85",100,187.93,NA,NA,381.86,393.52,0.983761573210359,0.985074276261003,0.560678746100843
"RSTD","86",100,30.05,NA,NA,66.1,77.76,0.0121708661317825,0.510084605775774,1.9245799779892
"RSTD","87",100,196.31,NA,NA,398.62,410.28,0.560627639293671,0.944418847560883,0.568196653077499
"RSTD","88",100,242.25,NA,NA,490.5,502.16,1e-05,1e-05,5.06841919844335e-05
"RSTD","89",100,87.64,NA,NA,181.28,192.94,0.0128545481711626,0.983863845467567,0.544549310121849
"RSTD","90",100,189.52,NA,NA,385.04,396.7,7.52316264561586e-06,0.0292480507706299,0.368767979615774
"RSTD","91",100,180.48,NA,NA,366.96,378.62,0.987872601083382,0.983537414789851,0.446637847839156
"RSTD","92",100,184.84,NA,NA,375.68,387.34,0.837278738006717,0.984423663467169,0.610173590481281
"RSTD","93",100,189.69,NA,NA,385.38,397.04,0.283216035997611,0.677752184476049,0.301206552685471
"RSTD","94",100,242.4,NA,NA,490.8,502.46,1e-05,1e-05,0
"RSTD","95",100,227.17,NA,NA,460.34,472,0.984144072979689,0.9761186176911,0.578041360984444
"RSTD","96",100,171,NA,NA,348,359.66,0.0460050209221663,0.233907267916948,0.646495817950487
"RSTD","97",100,66.02,NA,NA,138.04,149.7,0.0534596852958202,0.403878978847388,0.719838135906219
"RSTD","98",100,173.66,NA,NA,353.32,364.98,0.0490870730209281,0.123578338563675,6.89160177344456
"RSTD","99",100,94.11,NA,NA,194.22,205.88,0.0344121381640434,0.181093573570251,1.11641220027411
"RSTD","100",100,74.64,NA,NA,155.28,166.94,0.051732987165451,0.470070421695709,0.919674216078758
"RSTD","101",100,213.59,NA,NA,433.18,444.84,0.0521485954523087,0.110434748232365,0.129634642072678
"RSTD","102",100,74.14,NA,NA,154.28,165.94,0.0361602529883385,0.157343740177197,1.40796627758493
"RSTD","103",100,122.5,NA,NA,251,262.66,0.0317406170070171,0.0746085345745087,3.63644206361675
"RSTD","104",100,34.62,NA,NA,75.24,86.9,0.0128545481711626,0.983863845467567,1.72117816494608
"RSTD","105",100,57.8,NA,NA,121.6,133.26,0.0179174081422389,0.616801843239955,0.961009725404438
"RSTD","106",100,92.89,NA,NA,191.78,203.44,0,0.000248972515696205,0.499810527544469
"RSTD","107",100,176.96,NA,NA,359.92,371.58,0.0664219073951244,0.0789228589273989,0.482992491474867
