"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","62",100,212.04,NA,NA,428.08,435.85,0.0279147496311911,0.388861596125078,NA
"TD","63",100,55.53,NA,NA,115.06,122.83,0.000972477691492244,6.49437115954105,NA
"TD","64",100,96.96,NA,NA,197.92,205.69,0.904304276060063,9.88477597751064,NA
"TD","65",100,123.34,NA,NA,250.68,258.45,0.000260891056308242,0.789232985483869,NA
"TD","67",100,165.73,NA,NA,335.46,343.23,0.00848445093161702,0.611701830761157,NA
"TD","68",100,175.81,NA,NA,355.62,363.39,0.000589839388453413,0.496139853222373,NA
"TD","69",100,247.14,NA,NA,498.28,506.05,0.0890132740511561,0.00484277922352301,NA
"TD","70",100,87.33,NA,NA,178.66,186.43,0.000244162262596557,0.779852235344596,NA
"TD","71",100,226.47,NA,NA,456.94,464.71,3.04397563629843e-06,0.0335443709906701,NA
"TD","72",100,249.34,NA,NA,502.68,510.45,0.814692125994703,8.35502066435799e-05,NA
"TD","73",100,83.64,NA,NA,171.28,179.05,0.00813480668848866,9.91297539111127,NA
"TD","74",100,926.22,NA,NA,1856.44,1864.21,0.0417382643924493,0.813613660479357,NA
"TD","75",100,74.79,NA,NA,153.58,161.35,7.15774135583817e-05,1.27109765642982,NA
"TD","76",100,210.53,NA,NA,425.06,432.83,0.000190233489572772,0.425550709135858,NA
"TD","77",100,134.49,NA,NA,272.98,280.75,0.00114880366541358,0.634626215615688,NA
"TD","78",100,116.34,NA,NA,236.68,244.45,0.999941539694688,0.977662430557947,NA
"TD","79",100,160.97,NA,NA,325.94,333.71,0.9913452048977,0.752845605816353,NA
"TD","80",100,100.03,NA,NA,204.06,211.83,0.00596155597288287,0.749153234705221,NA
"TD","81",100,156.62,NA,NA,317.24,325.01,0.0054536645941572,9.94904633946155,NA
"TD","82",100,94.63,NA,NA,193.26,201.03,0.000124971436444621,1.04805119514377,NA
"TD","83",100,85.17,NA,NA,174.34,182.11,0.000251893163053806,0.770314206366928,NA
"TD","84",100,83.1,NA,NA,170.2,177.97,0.00058645507736666,7.70573345905531,NA
"TD","85",100,158.45,NA,NA,320.9,328.67,0.000105403788976498,0.431095199302615,NA
"TD","86",100,91.05,NA,NA,186.1,193.87,0.906439790688911,9.93688841923474,NA
"TD","87",100,206.97,NA,NA,417.94,425.71,0.996279550072643,0.537085755226229,NA
"TD","88",100,170.23,NA,NA,344.46,352.23,6.62542205344716e-08,0.339422355573757,NA
"TD","89",100,87.29,NA,NA,178.58,186.35,6.07166189617292e-05,0.660561439134281,NA
"TD","90",100,214.16,NA,NA,432.32,440.09,0.338045661165919,0.039231141965094,NA
"TD","91",100,135.32,NA,NA,274.64,282.41,0.000230818667208203,0.568388758962354,NA
"TD","92",100,131.4,NA,NA,266.8,274.57,6.39466134133571e-05,0.608860857196936,NA
"TD","93",100,198.18,NA,NA,400.36,408.13,0.999305300844012,0.492471234294068,NA
"TD","94",100,837.32,NA,NA,1678.64,1686.41,0.000547399448897208,1.50477082631656,NA
"TD","95",100,129.1,NA,NA,262.2,269.97,3.31876418510906e-08,0.56135886493927,NA
"TD","96",100,173.37,NA,NA,350.74,358.51,3.65127448228936e-06,0.484977759175369,NA
"TD","97",100,72.63,NA,NA,149.26,157.03,0.00457559593656187,0.930099826142672,NA
"TD","98",100,132.59,NA,NA,269.18,276.95,5.3474930022588e-05,0.530587259368599,NA
"TD","99",100,97.29,NA,NA,198.58,206.35,0.0131575826484076,8.9466195066685,NA
"TD","100",100,133.84,NA,NA,271.68,279.45,0.933851103436781,1.01125010140793,NA
"TD","101",100,192.51,NA,NA,389.02,396.79,1.37100923457847e-06,0.31123253441442,NA
"TD","102",100,88.5,NA,NA,181,188.77,0.00126899610078967,0.995727037280083,NA
"TD","103",100,115.07,NA,NA,234.14,241.91,1.13205314805251e-05,1.17144230413902,NA
"TD","104",100,37.15,NA,NA,78.3,86.07,0.00184417418940891,3.55147999261527,NA
"TD","105",100,119.57,NA,NA,243.14,250.91,0.899582639913056,5.37026280617992,NA
"TD","106",100,118.14,NA,NA,240.28,248.05,5.01517528877583e-06,0.62777598050962,NA
"TD","107",100,243.08,NA,NA,490.16,497.93,0.999997308725995,0.374432858968363,NA
"TD","108",100,145.23,NA,NA,294.46,302.23,0.000547997879020068,0.531268611817202,NA
"TD","109",100,159.38,NA,NA,322.76,330.53,0.0238336522414127,0.456354033488862,NA
"TD","110",100,124.15,NA,NA,252.3,260.07,0.999914116402885,1.34067179152806,NA
"TD","111",100,128.55,NA,NA,261.1,268.87,0.999989577805032,0.796721049049768,NA
"TD","113",100,119.08,NA,NA,242.16,249.93,5.71273314928751e-05,0.769326345378962,NA
"TD","114",100,102.06,NA,NA,208.12,215.89,3.83598565062678e-06,0.590755314934124,NA
"TD","115",100,212.98,NA,NA,429.96,437.73,0.65842316738864,0.0461450839492084,NA
"TD","116",100,166.77,NA,NA,337.54,345.31,3.00584997693254e-05,0.735143445107109,NA
"TD","117",100,237.5,NA,NA,479,486.77,0.878582099995963,0.0395555926123974,NA
"TD","118",100,77.84,NA,NA,159.68,167.45,0.00167594123121272,0.891065461633063,NA
"TD","119",100,78.51,NA,NA,161.02,168.79,0.969243139230748,6.62132609876551,NA
"TD","120",100,72.19,NA,NA,148.38,156.15,3.21347193376396e-06,0.869911136996623,NA
"TD","121",100,170.59,NA,NA,345.18,352.95,0.921361370517029,0.518339314592767,NA
"TD","122",100,141.79,NA,NA,287.58,295.35,0.00201636427916663,0.548380624569706,NA
"TD","123",100,117.98,NA,NA,239.96,247.73,0.000189739930483743,0.657687162773242,NA
"TD","124",100,81.75,NA,NA,167.5,175.27,0.000562209526959176,0.754363151869332,NA
"TD","125",100,102.07,NA,NA,208.14,215.91,0.000109728326746966,0.822484940846527,NA
"TD","126",100,128.99,NA,NA,261.98,269.75,0.999986319150062,0.755164671375543,NA
"TD","127",100,74.46,NA,NA,152.92,160.69,0.00769324675174155,9.64158540718485,NA
"TD","128",100,277.41,NA,NA,558.82,566.59,5.39107842271178e-05,0.553584796373253,NA
"TD","129",100,96.89,NA,NA,197.78,205.55,0.96390589616449,9.64158540718485,NA
"RSTD","1",100,241.46,NA,NA,488.92,500.58,0.000873602117725275,0.00117831649625679,0.0294559822487405
"RSTD","2",100,199.91,NA,NA,405.82,417.48,0.521467983320114,0.699935130247514,0.0937785377643986
"RSTD","3",100,167.07,NA,NA,340.14,351.8,0.889862283978174,0.999942746465458,0.680458777713192
"RSTD","4",100,113.66,NA,NA,233.32,244.98,0.992994966325946,0.960379748199871,0.940945954401876
"RSTD","5",100,246.85,NA,NA,499.7,511.36,0.935518725845736,0.999950325014331,1.51135962497762
"RSTD","6",100,259.71,NA,NA,525.42,537.08,0.465467581248687,0.215634435247675,0.0221505212256102
"RSTD","7",100,82.93,NA,NA,171.86,183.52,0.000206656682608868,0.99994978224313,0.711736257625865
"RSTD","8",100,151.81,NA,NA,309.62,321.28,0.999995001877819,0.95700217587773,0.50866860805926
"RSTD","9",100,182.63,NA,NA,371.26,382.92,0.25278803776627,0.999884050487699,0.293084828827554
"RSTD","10",100,111.35,NA,NA,228.7,240.36,0.988363852581525,0.992790445023402,3.64371388967196
"RSTD","11",100,151.84,NA,NA,309.68,321.34,0.904741255450227,0.976538216958219,0.687451224582361
"RSTD","12",100,211.92,NA,NA,429.84,441.5,0.00720643270149679,0.164034719169254,0.0497488480426404
"RSTD","13",100,119.92,NA,NA,245.84,257.5,0.764613019840284,0.999826346145613,1.02047991806823
"RSTD","14",100,79.07,NA,NA,164.14,175.8,0.0457917422175808,0.476819555012809,0.797995532738362
"RSTD","15",100,135.39,NA,NA,276.78,288.44,0.0420456503211463,0.145708989287975,9.16067527453891
"RSTD","16",100,87.68,NA,NA,181.36,193.02,0.00305956716615368,0.553999130209588,1.7470588435613
"RSTD","17",100,200.53,NA,NA,407.06,418.72,0.00314516824698676,0.207760915805342,0.0570396504738351
"RSTD","18",100,217.77,NA,NA,441.54,453.2,0.107007070525337,0.219461800958625,0.0432416362081548
"RSTD","19",100,235.42,NA,NA,476.84,488.5,0.999988039674951,0.999982219285853,0.397012887657451
"RSTD","20",100,65.82,NA,NA,137.64,149.3,8.9119917994061e-06,0.000912979675365675,1.29576506716221
"RSTD","21",100,86.64,NA,NA,179.28,190.94,0.0513270044267838,0.943261314539713,9.69908739208085
"RSTD","22",100,57.7,NA,NA,121.4,133.06,0.0432069457386202,0.11430635108189,3.07218601762097
"RSTD","23",100,40.37,NA,NA,86.74,98.4,0.000449354909518657,0.999462120139744,1.09398500233752
"RSTD","24",100,239.42,NA,NA,484.84,496.5,0.66125133982525,0.447900463560357,0.0180591693511925
"RSTD","25",100,146.45,NA,NA,298.9,310.56,0.555338696314841,0.999886970907649,0.945592319990454
"RSTD","26",100,232.14,NA,NA,470.28,481.94,0.999959319531465,0.982605185537402,0.511732653621188
"RSTD","27",100,131.25,NA,NA,268.5,280.16,0.386500572905069,0.999570436078573,2.45255099697997
"RSTD","28",100,178.66,NA,NA,363.32,374.98,0.922754661196307,0.998925649240464,0.512445346178139
"RSTD","29",100,194.92,NA,NA,395.84,407.5,0.999882218919656,0.999765285360471,0.666202774744014
"RSTD","31",100,64.32,NA,NA,134.64,146.3,0.00014443658115925,0.769649727636995,0.897536969592931
"RSTD","32",100,111.7,NA,NA,229.4,241.06,0.000827287446038852,0.00737643466395698,0.622357601515989
"RSTD","34",100,83.78,NA,NA,173.56,185.22,0.949161776139401,0.986634782478311,7.31911010450196
"RSTD","35",100,140.04,NA,NA,286.08,297.74,0.427009964301261,0.999990652838785,1.15751865563795
"RSTD","36",100,150.7,NA,NA,307.4,319.06,0.0383107969601471,0.116197056865499,5.07683366947799
