"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","71",100,242.38,NA,NA,488.76,496.53,1e-05,1e-05,NA
"TD","72",100,242.21,NA,NA,488.42,496.19,1.34328649000817e-05,6.31650281299302e-05,NA
"TD","73",100,77.41,NA,NA,158.82,166.59,0,0.983873823784413,NA
"TD","74",100,242.4,NA,NA,488.8,496.57,0.0561624781570309,0,NA
"TD","75",100,62.97,NA,NA,129.94,137.71,0,0.766147335025902,NA
"TD","76",100,209.13,NA,NA,422.26,430.03,0,0.374297415118789,NA
"TD","77",100,162.31,NA,NA,328.62,336.39,0.926619500295162,0.734648274883719,NA
"TD","78",100,47.1,NA,NA,98.2,105.97,0.00675529851330903,1.43303438981219,NA
"TD","79",100,97.79,NA,NA,199.58,207.35,0,0.747005632781064,NA
"TD","80",100,95.33,NA,NA,194.66,202.43,0.00558718306865634,0.720192201136894,NA
"TD","81",100,102.4,NA,NA,208.8,216.57,0,1.08955242772867,NA
"TD","82",100,87.69,NA,NA,179.38,187.15,0,1.0314726434083,NA
"TD","83",100,167.33,NA,NA,338.66,346.43,0.910370464176127,5.92614715292262,NA
"TD","84",100,80.58,NA,NA,165.16,172.93,0,1.33962044565938,NA
"TD","85",100,186.34,NA,NA,376.68,384.45,1,0.475395144218005,NA
"TD","86",100,29.85,NA,NA,63.7,71.47,0,1.37944720340138,NA
"TD","87",100,154.53,NA,NA,313.06,320.83,0,0.498159959362579,NA
"TD","88",100,242.25,NA,NA,488.5,496.27,2.32328091782499e-05,4.94851090582226e-05,NA
"TD","89",100,86.71,NA,NA,177.42,185.19,0,0.600338553359708,NA
"TD","90",100,193.29,NA,NA,390.58,398.35,0,0.16101175499672,NA
"TD","91",100,127.39,NA,NA,258.78,266.55,0,0.547971917999049,NA
"TD","92",100,189.94,NA,NA,383.88,391.65,0.957469485534516,0.622520365415028,NA
"TD","93",100,135.14,NA,NA,274.28,282.05,0,0.497151970271461,NA
"TD","94",100,242.4,NA,NA,488.8,496.57,0.0561624781570309,0,NA
"TD","95",100,119.05,NA,NA,242.1,249.87,0,0.55160938597866,NA
"TD","96",100,165.81,NA,NA,335.62,343.39,0,0.468199006633541,NA
"TD","97",100,68.51,NA,NA,141.02,148.79,0,0.729075411508916,NA
"TD","98",100,133.44,NA,NA,270.88,278.65,0,0.511496299452316,NA
"TD","99",100,96.64,NA,NA,197.28,205.05,0,0.857605508170296,NA
"TD","100",100,76.94,NA,NA,157.88,165.65,0,0.84596287254451,NA
"TD","101",100,179.56,NA,NA,363.12,370.89,0,0.309231030210912,NA
"TD","102",100,76.38,NA,NA,156.76,164.53,0,0.93333555452034,NA
"TD","103",100,110.65,NA,NA,225.3,233.07,0,1.02143154739749,NA
"TD","104",100,94.7,NA,NA,193.4,201.17,1,8.93162759553836,NA
"TD","105",100,59.04,NA,NA,122.08,129.85,0,0.976747160355737,NA
"TD","106",100,90.33,NA,NA,184.66,192.43,0,0.619302019698691,NA
"TD","107",100,152.89,NA,NA,309.78,317.55,0.0250668081873066,1.03409498516667,NA
"TD","108",100,128.52,NA,NA,261.04,268.81,0,0.454579310673647,NA
"TD","109",100,153.29,NA,NA,310.58,318.35,0.0232193516422628,0.455093803325906,NA
"TD","110",100,66.23,NA,NA,136.46,144.23,0,1.21180988012732,NA
"TD","111",100,115.84,NA,NA,235.68,243.45,0.907943944147359,0.925453420426983,NA
"TD","113",100,114.19,NA,NA,232.38,240.15,0,0.725326701734104,NA
"TD","114",100,95.59,NA,NA,195.18,202.95,0,0.594519555884053,NA
"TD","115",100,162.74,NA,NA,329.48,337.25,0.0401405595394879,0.547824415839601,NA
"TD","116",100,231.63,NA,NA,467.26,475.03,0.897587930388589,8.6107738114894,NA
"TD","117",100,172.78,NA,NA,349.56,357.33,0,0.345694565924534,NA
"TD","118",100,67.5,NA,NA,139,146.77,0,0.770267888323098,NA
"TD","119",100,11.63,NA,NA,27.26,35.03,0,5.02089400870428,NA
"TD","120",100,242.4,NA,NA,488.8,496.57,0,0,NA
"TD","121",100,158.18,NA,NA,320.36,328.13,4.17886652737696e-06,0.432025567136822,NA
"TD","122",100,115.57,NA,NA,235.14,242.91,0,0.48105347442714,NA
"TD","123",100,106.92,NA,NA,217.84,225.61,0,0.637837111479928,NA
"TD","124",100,163.93,NA,NA,331.86,339.63,0.931759120152774,5.5330982224281,NA
"TD","125",100,77.78,NA,NA,159.56,167.33,0,0.790377040177729,NA
"TD","126",100,122.18,NA,NA,248.36,256.13,0.955593916900431,0.754648197998682,NA
"TD","127",100,68.31,NA,NA,140.62,148.39,0,0.99439105787001,NA
"TD","128",100,224.01,NA,NA,452.02,459.79,0,0.563475539198792,NA
"TD","129",100,30.08,NA,NA,64.16,71.93,0,1.73815753185681,NA
"RSTD","1",100,236.98,NA,NA,479.96,491.62,0.302980417907741,0.189763077056739,0.0280678706149549
"RSTD","2",100,160.56,NA,NA,327.12,338.78,1.0596387915505e-05,1.08451627548398e-05,0.295160011876451
"RSTD","3",100,159.78,NA,NA,325.56,337.22,0.667244826860793,1,0.705244147266154
"RSTD","4",100,61.37,NA,NA,128.74,140.4,0,0.435691986779715,0.911569996996833
"RSTD","5",100,140.51,NA,NA,287.02,298.68,0,0,1.30013312254503
"RSTD","6",100,122.33,NA,NA,250.66,262.32,0,1.5592101859198e-05,0.672196245845325
"RSTD","7",100,134.44,NA,NA,274.88,286.54,0.775167020787062,1,0.698201282524425
"RSTD","8",100,108.74,NA,NA,223.48,235.14,2.26824647212775e-05,0.370975461151801,0.475178293117699
"RSTD","9",100,145.31,NA,NA,296.62,308.28,0,0,0.418480437768544
"RSTD","10",100,44.38,NA,NA,94.76,106.42,0,0,1.36371287629178
"RSTD","11",100,146.9,NA,NA,299.8,311.46,0.934051598785008,1,0.65848715020447
"RSTD","12",100,199.52,NA,NA,405.04,416.7,0.0908247309119501,0.445759796534629,0.0721339955015175
"RSTD","13",100,116.69,NA,NA,239.38,251.04,0.768806419330491,1,0.952833124989688
"RSTD","14",100,68.15,NA,NA,142.3,153.96,0.0403195689749451,0.503430264460787,0.744368978600036
"RSTD","15",100,164.95,NA,NA,335.9,347.56,0.258540350070478,1,0.649285866289376
"RSTD","16",100,106.72,NA,NA,219.44,231.1,0.479656393800267,1,1.88055949769466
"RSTD","17",100,190.48,NA,NA,386.96,398.62,0,0.167984044706555,0.0637963618721119
"RSTD","18",100,167.71,NA,NA,341.42,353.08,0,0.0152772943219112,0.701009928981773
"RSTD","19",100,185.88,NA,NA,377.76,389.42,1.1109884267062e-05,1.08117357235033e-05,0.379545453628622
"RSTD","20",100,29.37,NA,NA,64.74,76.4,0,0.478128731087551,1.22116979167108
"RSTD","21",100,23.94,NA,NA,53.88,65.54,0.0476982680095305,0.321743411198349,1.45832964755382
"RSTD","22",100,28.63,NA,NA,63.26,74.92,0.0415374759650474,1,1.07072877167522
"RSTD","23",100,37.02,NA,NA,80.04,91.7,0,0.509261937578112,1.03978994261699
"RSTD","24",100,99.31,NA,NA,204.62,216.28,0,0,1.67843163115689
"RSTD","25",100,139.96,NA,NA,285.92,297.58,0.543451278899552,1,1.03431758099687
"RSTD","26",100,225.33,NA,NA,456.66,468.32,1,0.972391322457842,0.518661022854236
"RSTD","27",100,123.09,NA,NA,252.18,263.84,0.675981742074303,1,0.992457906634989
"RSTD","28",100,130.54,NA,NA,267.08,278.74,0,0,0.455062785229991
"RSTD","29",100,112.29,NA,NA,230.58,242.24,0.0232931031991076,0.116309415108037,3.86209856870543
"RSTD","31",100,50.73,NA,NA,107.46,119.12,0,0.527013286971612,0.876531376167694
"RSTD","32",100,104.2,NA,NA,214.4,226.06,0,0,0.536213062022238
"RSTD","34",100,21.5,NA,NA,49,60.66,0.0366412847560913,0.897636429184541,2.68120151893309
"RSTD","35",100,135.24,NA,NA,276.48,288.14,0.674322872103301,1,0.875877940278698
"RSTD","36",100,213.08,NA,NA,432.16,443.82,0.43501293527585,1,0.961423883033908
"RSTD","37",100,78.42,NA,NA,162.84,174.5,0.0285853953409448,0.836128334910287,0.791251958967962
"RSTD","38",100,242.4,NA,NA,490.8,502.46,1.78467655063326e-05,1.74204098708783e-05,0
"RSTD","39",100,217.25,NA,NA,440.5,452.16,8.33440479223564e-06,8.49181445327172e-06,0.363902560219738
"RSTD","40",100,167.53,NA,NA,341.06,352.72,0.371274414647352,0.678215201272621,0.252502339392564
"RSTD","41",100,139.7,NA,NA,285.4,297.06,0.675808372937558,1,0.742926696359336
"RSTD","42",100,27.15,NA,NA,60.3,71.96,0,0,1.03565028764557
"RSTD","43",100,32.13,NA,NA,70.26,81.92,0,0.433618673267927,0.986120256320933
"RSTD","44",100,51.71,NA,NA,109.42,121.08,0,0.493587070548899,1.10824487557687
"RSTD","45",100,108.38,NA,NA,222.76,234.42,1,1,0.92048551709484
"RSTD","46",100,176.92,NA,NA,359.84,371.5,0.891639185114413,1,0.691458748648893
"RSTD","47",100,207.43,NA,NA,420.86,432.52,0.533229887414522,1,0.884979056424049
"RSTD","48",100,157.7,NA,NA,321.4,333.06,0,0,0.418480437768544
"RSTD","49",100,139.74,NA,NA,285.48,297.14,0.934654623551364,1,0.766994485757577
"RSTD","50",100,242.4,NA,NA,490.8,502.46,1.78467655063326e-05,1.74204098708783e-05,0
"RSTD","51",100,117.77,NA,NA,241.54,253.2,0.0717915525435089,1,0.791794441366439
"RSTD","52",100,224.53,NA,NA,455.06,466.72,0.634383530391562,1,0.025450191832459
"RSTD","53",100,112.14,NA,NA,230.28,241.94,0,0,0.549728756952032
"RSTD","54",100,186.23,NA,NA,378.46,390.12,1.95970999042271e-06,2.80188354769874e-06,0.470983867818775
"RSTD","55",100,156.45,NA,NA,318.9,330.56,0.0245521239693168,1,1.05462938271051
"RSTD","56",100,62.02,NA,NA,130.04,141.7,0.0417552071365022,0.76402438805174,0.911886926092248
