"simulate_model","fit_model","iteration","ACC","LogL","LogPr","LogPo","AIC","BIC","input_param_1","input_param_2","output_param_1","output_param_2","output_param_3","input_param_3"
"TD","TD",1,100,-135.81,NA,NA,275.62,283.39,0.643091264180839,0.83357874206723,0.872789783996327,0.754750215201721,NA,NA
"TD","TD",2,100,-123.41,NA,NA,250.82,258.59,0.724670132622123,1.43561604238095,0.872346947129326,1.01379392330028,NA,NA
"TD","TD",3,100,-130.86,NA,NA,265.72,273.49,0.950232450617477,2.03779015681686,0.92934343731091,1.01486671126347,NA,NA
"TD","TD",4,100,-201.35,NA,NA,406.7,414.47,0.682289758697152,0.0720224548131227,0.767722794599253,0.0651761587029049,NA,NA
"TD","TD",5,100,-199.39,NA,NA,402.78,410.55,0.200363578274846,1.00568439900399,0.224022523972412,0.66286899772459,NA,NA
"TD","TD",6,100,-180.02,NA,NA,364.04,371.81,0.321220333920792,0.298665664158762,0.58295763268101,0.177032115219446,NA,NA
"TD","TD",7,100,-213.76,NA,NA,431.52,439.29,0.571441247593611,0.0502132950350642,0.794023090722161,0.043224954583596,NA,NA
"TD","TD",8,100,-142.63,NA,NA,289.26,297.03,0.973066303646192,0.392999498639256,0.880117381512192,0.421569574243232,NA,NA
"TD","TD",9,100,-249.53,NA,NA,503.06,510.83,0.895209939451888,0.0054737395918251,0.181464173930624,3.38245612836899e-06,NA,NA
"TD","TD",10,100,-197.62,NA,NA,399.24,407.01,0.0494146177079529,0.507862410508096,0.999908469277098,0.252981024790731,NA,NA
"TD","TD",11,100,-204.93,NA,NA,413.86,421.63,0.197620301274583,0.18983699940145,0.3798558857308,0.0677948783468992,NA,NA
"TD","TD",12,100,-229.54,NA,NA,463.08,470.85,0.0560640415642411,0.566026730462909,0.978158559875243,0.263690148434352,NA,NA
"TD","TD",13,100,-230.72,NA,NA,465.44,473.21,0.051307131536305,1.23247370731968,0.978821897352151,0.270698518638197,NA,NA
"TD","TD",14,100,-177.14,NA,NA,358.28,366.05,0.989872474921867,0.208000437050192,0.819778929071745,0.21187772820065,NA,NA
"TD","TD",15,100,-147.71,NA,NA,299.42,307.19,0.711294803768396,0.57632797351107,0.801517747815488,0.569206478314863,NA,NA
"TD","TD",16,100,-249.54,NA,NA,503.08,510.85,0.0768930825870484,0.00966986734420061,0.225295663911427,1.07493577121441e-06,NA,NA
"TD","TD",17,100,-119.73,NA,NA,243.46,251.23,0.797194604296237,2.5054881726885,0.872836007324936,1.06898521073216,NA,NA
"TD","TD",18,100,-126.91,NA,NA,257.82,265.59,0.731893435353413,1.27495420533688,0.870990027137988,0.951747592918395,NA,NA
"TD","TD",19,100,-129.47,NA,NA,262.94,270.71,0.809085062006488,0.797056699129653,0.875966430210273,0.827588113183763,NA,NA
"TD","TD",20,100,-160.41,NA,NA,324.82,332.59,0.511981163173914,2.39124982816227,0.849249361069964,0.56225253647993,NA,NA
"TD","TD",21,100,-187.07,NA,NA,378.14,385.91,0.226354157319292,1.66897989056053,0.236783691769495,0.747135774364866,NA,NA
"TD","TD",22,100,-194.19,NA,NA,392.38,400.15,0.300222688354552,0.955442077438247,0.824258005350241,0.377850383170219,NA,NA
"TD","TD",23,100,-139,NA,NA,282,289.77,0.984172471100464,1.69604673600736,0.962628979797274,0.882249842459827,NA,NA
"TD","TD",24,100,-177.65,NA,NA,359.3,367.07,0.540354023920372,0.234106497689865,0.708379404747901,0.187129712206961,NA,NA
"TD","TD",25,100,-157.52,NA,NA,319.04,326.81,0.870058757020161,0.327183235902339,0.833750444451103,0.324409467469333,NA,NA
"TD","TD",26,100,-199.85,NA,NA,403.7,411.47,0.0660558908712119,1.97567781611326,0.130689487433267,0.808317704643407,NA,NA
"TD","TD",27,100,-168.54,NA,NA,341.08,348.85,0.973287776112556,0.260513227898628,0.845987632837356,0.269392151208388,NA,NA
"TD","TD",28,100,-191.78,NA,NA,387.56,395.33,0.290595552418381,1.05573849655212,0.834767071833586,0.392662056769301,NA,NA
"TD","TD",29,100,-175.34,NA,NA,354.68,362.45,0.988910319516435,0.211397308856249,0.839012500034626,0.221952850489172,NA,NA
"TD","TD",30,100,-183.51,NA,NA,371.02,378.79,0.329378831898794,2.0851063261411,0.3138968145866,0.845274589761837,NA,NA
"TD","TD",31,100,-224.49,NA,NA,452.98,460.75,0.11878991080448,0.835414388175023,0.173572023401301,0.632844127255597,NA,NA
"TD","TD",32,100,-193.63,NA,NA,391.26,399.03,0.0508385861758143,0.410096168983728,0.0497153071541121,0.392089546553249,NA,NA
"TD","TD",33,100,-138.61,NA,NA,281.22,288.99,0.684979062527418,0.756628525771442,0.872688964515603,0.729444653981696,NA,NA
"TD","TD",34,100,-201.11,NA,NA,406.22,413.99,0.842564480379224,0.0599249633960426,0.7732577009192,0.0646699085622602,NA,NA
"TD","TD",35,100,-181.8,NA,NA,367.6,375.37,0.27115519088693,2.69503675574873,0.256336680230853,0.87547863538368,NA,NA
"TD","TD",36,100,-129.53,NA,NA,263.06,270.83,0.779200294986367,0.457588243763894,0.856447341722682,0.479875880325394,NA,NA
"TD","TD",37,100,-139,NA,NA,282,289.77,0.982565350597724,3.92570209977795,0.962628979797274,0.882249842459827,NA,NA
"TD","TD",38,100,-178.6,NA,NA,361.2,368.97,0.533772448310629,0.225168376229703,0.712825025508858,0.182070698684061,NA,NA
"TD","TD",39,100,-200.23,NA,NA,404.46,412.23,0.128862570039928,1.75030500992181,0.853029342098112,0.350414439473819,NA,NA
"TD","TD",40,100,-202.53,NA,NA,409.06,416.83,0.420502026332542,0.0828633031448371,0.724451756819199,0.0622070046634833,NA,NA
"TD","TD",41,100,-129.33,NA,NA,262.66,270.43,0.860091791022569,1.2001721150753,0.891086274339642,0.879741227401023,NA,NA
"TD","TD",42,100,-159.05,NA,NA,322.1,329.87,0.633000507717952,0.316391955215622,0.732668108397657,0.29250703865156,NA,NA
"TD","TD",43,100,-160.41,NA,NA,324.82,332.59,0.512010124279186,2.01376353887389,0.849249361069964,0.56225253647993,NA,NA
"TD","TD",44,100,-177.08,NA,NA,358.16,365.93,0.4054856733419,3.89528230370438,0.352858544707301,0.86295935749363,NA,NA
"TD","TD",45,100,-185.86,NA,NA,375.72,383.49,0.319981756620109,0.264156529679894,0.499503819632433,0.144487535960468,NA,NA
"TD","TD",46,100,-141.97,NA,NA,287.94,295.71,0.947748523205519,1.36391219958187,0.934877414653868,0.856954930392745,NA,NA
"TD","TD",47,100,-133.97,NA,NA,271.94,279.71,0.885661983396858,1.4762263855988,0.894572503119775,0.878366658125261,NA,NA
"TD","TD",48,100,-205.03,NA,NA,414.06,421.83,0.119032545015216,0.210982074495405,0.754624605890483,0.0566656692533856,NA,NA
"TD","TD",49,100,-142.24,NA,NA,288.48,296.25,0.931592519162223,0.648705839645118,0.911316752398327,0.699156132503591,NA,NA
"TD","TD",50,100,-119.73,NA,NA,243.46,251.23,0.753800751408562,2.89878896835935,0.872836007324936,1.06898521073216,NA,NA
"TD","TD",51,100,-201.45,NA,NA,406.9,414.67,0.080542077543214,0.38312963815406,0.846604085383072,0.070329624190679,NA,NA
"TD","TD",52,100,-231.38,NA,NA,466.76,474.53,0.0462017410900444,0.577519766520709,0.999997188142815,0.278062004280263,NA,NA
"TD","TD",53,100,-184.79,NA,NA,373.58,381.35,0.407168375095353,0.8810732345608,0.299942756722138,0.726471544356729,NA,NA
"TD","TD",54,100,-144.58,NA,NA,293.16,300.93,0.960197768406942,0.629818245768547,0.919621893917712,0.703290543970773,NA,NA
"TD","TD",55,100,-199.48,NA,NA,402.96,410.73,0.745619997614995,0.0838289222957155,0.743046045593015,0.0718171668730278,NA,NA
"TD","TD",56,100,-190.67,NA,NA,385.34,393.11,0.387793875532225,0.184212701395154,0.595425033268378,0.113659673846509,NA,NA
"TD","TD",57,100,-157.9,NA,NA,319.8,327.57,0.640330957481638,0.323464683257043,0.731870233205707,0.29601817391932,NA,NA
"TD","TD",58,100,-190.22,NA,NA,384.44,392.21,0.46626549679786,0.183777129743248,0.592365285764607,0.117235091503706,NA,NA
"TD","TD",59,100,-126.4,NA,NA,256.8,264.57,0.781977394130081,1.17335850927503,0.874921812249591,0.965634276608592,NA,NA
"TD","TD",60,100,-204.75,NA,NA,413.5,421.27,0.185236022341996,0.162097267924749,0.781134428228093,0.0576050510212222,NA,NA
"TD","TD",61,100,-180.98,NA,NA,365.96,373.73,0.703108243644238,0.190494351089001,0.753518576703751,0.161927246567537,NA,NA
"TD","TD",62,100,-154.96,NA,NA,313.92,321.69,0.540940156206489,1.71158919288757,0.854899243201819,0.591783852153151,NA,NA
"TD","TD",63,100,-180.13,NA,NA,364.26,372.03,0.265401779906824,1.94766673623564,0.265415302560423,0.875331190063904,NA,NA
"TD","TD",64,100,-177.96,NA,NA,359.92,367.69,0.897607917198911,0.209870352875441,0.819221983260343,0.207878867518849,NA,NA
"TD","TD",65,100,-214.57,NA,NA,433.14,440.91,0.398145136190578,0.0485801249742508,0.80951966936808,0.0410964145259274,NA,NA
"TD","TD",66,100,-152.05,NA,NA,308.1,315.87,0.470244030002505,0.370898498687893,0.776739382280936,0.337512943409359,NA,NA
"TD","TD",67,100,-125.91,NA,NA,255.82,263.59,0.824348853668198,1.18002879429133,0.875906844437067,0.969756867425484,NA,NA
"TD","TD",68,100,-161.08,NA,NA,326.16,333.93,0.503097830805928,0.322839245665818,0.71405517280888,0.275661293776181,NA,NA
"TD","TD",69,100,-189.89,NA,NA,383.78,391.55,0.361050225095823,1.17336245528878,0.82662187275108,0.394141795129025,NA,NA
"TD","TD",70,100,-182.36,NA,NA,368.72,376.49,0.964988884748891,0.189227518625557,0.835101606892004,0.158094185184622,NA,NA
"TD","TD",71,100,-119.73,NA,NA,243.46,251.23,0.789667062694207,2.04544003671947,0.872836007324936,1.06898521073216,NA,NA
"TD","TD",72,100,-123.4,NA,NA,250.8,258.57,0.628910263301805,2.95466302318459,0.871766195838788,1.00757544653257,NA,NA
"TD","TD",73,100,-203.72,NA,NA,411.44,419.21,0.415234696352854,0.710676135453296,0.79996461006266,0.302715933090122,NA,NA
"TD","TD",74,100,-125.63,NA,NA,255.26,263.03,0.857857148861513,0.936107955831003,0.895131660595218,0.831270974895435,NA,NA
"TD","TD",75,100,-179.76,NA,NA,363.52,371.29,0.629901704145595,0.199268886353821,0.738244784429199,0.177548199869322,NA,NA
"TD","TD",76,100,-164.56,NA,NA,333.12,340.89,0.359289909945801,0.364497002285354,0.280990055600248,0.296451789655272,NA,NA
"TD","TD",77,100,-168.61,NA,NA,341.22,348.99,0.446684151422232,1.46860518856885,0.845232700902477,0.51329403687563,NA,NA
"TD","TD",78,100,-165.59,NA,NA,335.18,342.95,0.378760501742363,0.432298531290144,0.293423577039679,0.379253520986903,NA,NA
"TD","TD",79,100,-204.89,NA,NA,413.78,421.55,0.372670353855938,0.686002678703517,0.799844960094995,0.296804366834752,NA,NA
