"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","70",100,141.07,NA,NA,286.14,293.91,1,0.729358905954214,NA
"TD","71",100,225.92,NA,NA,455.84,463.61,0,0.0335645701145198,NA
"TD","72",100,249.34,NA,NA,502.68,510.45,0.280314875145978,8.01211394309648e-05,NA
"TD","73",100,87.61,NA,NA,179.22,186.99,0.00422683519752718,2.78110300377009,NA
"TD","74",100,249.53,NA,NA,503.06,510.83,0.0228395313350809,0,NA
"TD","75",100,225.11,NA,NA,454.22,461.99,0.01,0.01,NA
"TD","76",100,253.51,NA,NA,511.02,518.79,0.01,0.01,NA
"TD","77",100,169.12,NA,NA,342.24,350.01,0.935681070944304,0.727965967339589,NA
"TD","78",100,53.59,NA,NA,111.18,118.95,0.0105204409431659,3.71482154145734,NA
"TD","79",100,160.92,NA,NA,325.84,333.61,0.996118762230402,0.752595670197995,NA
"TD","80",100,102.43,NA,NA,208.86,216.63,0.00570516292700883,0.727605379444972,NA
"TD","81",100,165.81,NA,NA,335.62,343.39,1,2.75102405630757,NA
"TD","82",100,94.59,NA,NA,193.18,200.95,0,1.01570718251269,NA
"TD","83",100,163.85,NA,NA,331.7,339.47,0.970949470359652,0.748453162195903,NA
"TD","84",100,142.53,NA,NA,289.06,296.83,1,1.27028434180556,NA
"TD","85",100,193.13,NA,NA,390.26,398.03,1,0.467855084167123,NA
"TD","86",100,92.25,NA,NA,188.5,196.27,0.989381502778433,1.96246876941454,NA
"TD","87",100,208.5,NA,NA,421,428.77,0.913305411628742,0.552247504903972,NA
"TD","88",100,228.83,NA,NA,461.66,469.43,0.147750269929437,0.0320081520929647,NA
"TD","89",100,143.42,NA,NA,290.84,298.61,1,0.592634345182017,NA
"TD","90",100,200.38,NA,NA,404.76,412.53,0,0.164974231519355,NA
"TD","91",100,134.37,NA,NA,272.74,280.51,0,0.553679532796855,NA
"TD","92",100,196.59,NA,NA,397.18,404.95,0.955988631769932,0.624700639675361,NA
"TD","93",100,142.14,NA,NA,288.28,296.05,0,0.49765099843258,NA
"TD","94",100,832.69,NA,NA,1669.38,1677.15,0,1.31230017648972,NA
"TD","95",100,126.07,NA,NA,256.14,263.91,0,0.554281612548982,NA
"TD","96",100,224.99,NA,NA,453.98,461.75,0,0.0370099057256324,NA
"TD","97",100,72.04,NA,NA,148.08,155.85,0.00465576836835205,0.940603223565375,NA
"TD","98",100,140.44,NA,NA,284.88,292.65,1.4715580754388e-07,0.507112772528968,NA
"TD","99",100,103.55,NA,NA,211.1,218.87,0,0.861862624314335,NA
"TD","100",100,83.94,NA,NA,171.88,179.65,0,0.833699275713901,NA
"TD","101",100,186.56,NA,NA,377.12,384.89,0,0.308018692140543,NA
"TD","102",100,87.11,NA,NA,178.22,185.99,0.00354303158347746,1.62848198820355,NA
"TD","103",100,287.53,NA,NA,579.06,586.83,0.01,0.01,NA
"TD","104",100,101.42,NA,NA,206.84,214.61,0.99224978044983,1.89186659306026,NA
"TD","105",100,69.03,NA,NA,142.06,149.83,0.00615133092167163,2.63291278367128,NA
"TD","106",100,235.15,NA,NA,474.3,482.07,0.01,0.01,NA
"TD","107",100,162.77,NA,NA,329.54,337.31,0.0220376434295134,0.738971392275795,NA
"TD","108",100,234.17,NA,NA,472.34,480.11,0.01,0.01,NA
"TD","109",100,160.42,NA,NA,324.84,332.61,0.0237177884186786,0.445724443071637,NA
