"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"TD","79",58.33,233.96,471.92,479.69,0.555815020695269,0.0251532634451984,NA
"TD","80",81.67,154.69,313.38,321.15,0.0246136845089495,1.02864644257352,NA
"TD","81",85.28,145.85,295.7,303.47,0.0246136845089495,1.02864644257352,NA
"TD","82",79.44,195.98,395.96,403.73,0.0246136845089495,1.02864644257352,NA
"TD","83",78.61,233.24,470.48,478.25,0.0246136845089495,1.02864644257352,NA
"TD","84",91.39,83.98,171.96,179.73,0.00477358954027298,0.919699044618756,NA
"TD","85",57.22,253,510,517.77,0.236771776434034,0.0494577733658255,NA
"TD","86",98.06,112.2,228.4,236.17,3.47292050718317e-05,4.04917625943199,NA
"TD","87",55.56,241.86,487.72,495.49,0.48621757247448,0.0379483384266496,NA
"TD","88",62.5,238.09,480.18,487.95,0.146667645847797,0.0379483384266496,NA
"TD","89",59.72,227.24,458.48,466.25,0.287577520124614,0.0422282608225941,NA
"TD","90",59.17,236.54,477.08,484.85,0.0455564993899316,0.0545202509874108,NA
"TD","91",51.39,235.03,474.06,481.83,0.287577520124614,0.0422282608225941,NA
"TD","92",53.33,226.2,456.4,464.17,0.102102513890713,0.0244623815259336,NA
"TD","93",59.17,242.33,488.66,496.43,0.0455564993899316,0.0545202509874108,NA
"TD","94",99.17,47.44,98.88,106.65,0.000148825341835641,8.95045359153301,NA
"TD","95",60.56,262.4,528.8,536.57,0.102924682665616,0.0803432984836397,NA
"TD","96",53.61,255.9,515.8,523.57,0.287577520124614,0.0320945104703309,NA
"TD","97",82.5,142.62,289.24,297.01,0.0246136845089495,1.02864644257352,NA
"TD","98",51.39,259.72,523.44,531.21,0.983358829189092,0.00624773325398564,NA
"TD","99",78.61,162.81,329.62,337.39,0.0246136845089495,1.02864644257352,NA
"TD","100",81.39,267.59,539.18,546.95,0.0246136845089495,1.02864644257352,NA
"TD","101",58.06,262.03,528.06,535.83,0.287577520124614,0.0267600695118309,NA
"TD","102",59.72,212.26,428.52,436.29,0.0455564993899316,0.0547570605009793,NA
"TD","103",86.11,161.35,326.7,334.47,0.0246136845089495,1.02864644257352,NA
"TD","104",86.67,130.64,265.28,273.05,0.0246136845089495,1.02864644257352,NA
"TD","105",59.44,208.48,420.96,428.73,0.397914604004472,0.0375734945833085,NA
"TD","106",79.72,152,308,315.77,0.0246136845089495,1.02864644257352,NA
"TD","107",81.67,122.25,248.5,256.27,0.0246136845089495,1.02864644257352,NA
"TD","108",60,203.21,410.42,418.19,0.187789553916082,0.0680545810796319,NA
"TD","109",56.67,228.64,461.28,469.05,0.0774209555983543,0.0605617442168296,NA
"TD","110",87.5,85.65,175.3,183.07,0.0246136845089495,1.02864644257352,NA
"TD","111",84.72,140.33,284.66,292.43,0.0246136845089495,1.02864644257352,NA
"TD","113",81.94,148.62,301.24,309.01,0.0246136845089495,1.02864644257352,NA
"TD","114",75,174.68,353.36,361.13,0.0246136845089495,1.02864644257352,NA
"TD","115",56.67,219.23,442.46,450.23,0.501991423124075,0.0379483384266496,NA
"TD","116",59.44,220.35,444.7,452.47,0.892374420538545,0.0480492726899683,NA
"TD","117",60.28,203.54,411.08,418.85,0.0455564993899316,0.236915190964937,NA
"TD","118",81.94,120.66,245.32,253.09,0.0129836225965239,0.773103136800349,NA
"TD","119",98.89,54.5,113,120.77,3.47292050718317e-05,1.68085906812921,NA
"TD","120",79.17,144.13,292.26,300.03,0.0246136845089495,1.02864644257352,NA
"TD","121",82.78,165.07,334.14,341.91,0.00576891082635522,0.664067639957863,NA
"TD","122",54.44,236.24,476.48,484.25,0.414546335814521,0.0256350446231662,NA
