"simulate_model","fit_model","iteration","ACC","LL","AIC","BIC","input_param_1","input_param_2","output_param_1","output_param_2","output_param_3","input_param_3"
"TD","TD",49,81.11,-164.5,333,340.77,0.931592519162223,0.648705839645118,0.882624627836049,0.469872584799305,NA,NA
"TD","TD",50,89.17,-137.9,279.8,287.57,0.753800751408562,2.89878896835935,0.729213791899383,0.754299798049033,NA,NA
"TD","RSTD",1,83.33,-156.42,318.84,330.5,0.643091264180839,0.83357874206723,0.808088171249256,0.612771003274247,0.455219999421388,NA
"TD","RSTD",2,85,-143.13,292.26,303.92,0.724670132622123,1.43561604238095,0.808088171249256,0.612771003274247,0.455219999421388,NA
"TD","RSTD",3,96.94,-140.27,286.54,298.2,0.950232450617477,2.03779015681686,0.147113647311926,0.954413626575843,3.45003550755791,NA
"TD","RSTD",4,63.89,-221.79,449.58,461.24,0.682289758697152,0.0720224548131227,0.413724326295778,0.343516472261399,0.0523355591576546,NA
"TD","RSTD",5,83.33,-169.76,345.52,357.18,0.200363578274846,1.00568439900399,0.456614735303447,0.374462775886059,0.735473454697058,NA
"TD","RSTD",6,64.72,-211.06,428.12,439.78,0.321220333920792,0.298665664158762,0.640506813768297,0.710182401351631,0.11872746170139,NA
"TD","RSTD",7,60.83,-244.84,495.68,507.34,0.571441247593611,0.0502132950350642,0.413724326295778,0.343516472261399,0.0523355591576546,NA
"TD","RSTD",8,69.44,-201.44,408.88,420.54,0.973066303646192,0.392999498639256,0.675127777969465,0.794342321110889,0.197343613318056,NA
"TD","RSTD",9,53.61,-365.36,736.72,748.38,0.895209939451888,0.0054737395918251,0.413724326295778,0.343516472261399,0.0523355591576546,NA
"TD","RSTD",10,58.33,-224.5,455,466.66,0.0494146177079529,0.507862410508096,0.413724326295778,0.343516472261399,0.0523355591576546,NA
"TD","RSTD",11,61.67,-223.21,452.42,464.08,0.197620301274583,0.18983699940145,0.413724326295778,0.343516472261399,0.0523355591576546,NA
"TD","RSTD",12,58.06,-224.53,455.06,466.72,0.0560640415642411,0.566026730462909,0.413724326295778,0.343516472261399,0.0523355591576546,NA
"TD","RSTD",13,68.06,-204.9,415.8,427.46,0.051307131536305,1.23247370731968,0.312283298699185,0.127531650243327,0.163227981003001,NA
"TD","RSTD",14,70.56,-197.86,401.72,413.38,0.989872474921867,0.208000437050192,0.979888080766559,0.924186978180111,0.155959608041048,NA
"TD","RSTD",15,78.33,-197.45,400.9,412.56,0.711294803768396,0.57632797351107,0.59414202044718,0.612771003274247,0.455219999421388,NA
"TD","RSTD",16,51.94,-350.23,706.46,718.12,0.0768930825870484,0.00966986734420061,0.413724326295778,0.343516472261399,0.0523355591576546,NA
"TD","RSTD",17,84.72,-141.71,289.42,301.08,0.797194604296237,2.5054881726885,0.808088171249256,0.612771003274247,0.455219999421388,NA
"TD","RSTD",18,84.72,-142.72,291.44,303.1,0.731893435353413,1.27495420533688,0.808088171249256,0.612771003274247,0.455219999421388,NA
"TD","RSTD",19,80.83,-175.46,356.92,368.58,0.809085062006488,0.797056699129653,0.59414202044718,0.612771003274247,0.455219999421388,NA
"TD","RSTD",20,88.06,-141.86,289.72,301.38,0.511981163173914,2.39124982816227,0.466389212897047,0.379816537722945,0.771011504111812,NA
"TD","RSTD",21,86.11,-130.54,267.08,278.74,0.226354157319292,1.66897989056053,0.466389212897047,0.379816537722945,0.771011504111812,NA
"TD","RSTD",22,77.78,-181.5,369,380.66,0.300222688354552,0.955442077438247,0.851922932025045,0.439605245450512,0.397533039143309,NA
"TD","RSTD",23,96.94,-140.27,286.54,298.2,0.984172471100464,1.69604673600736,0.147113647311926,0.954413626575843,3.45003550755791,NA
"TD","RSTD",24,69.72,-211.43,428.86,440.52,0.540354023920372,0.234106497689865,0.546682389381826,0.717584817449749,0.199188060821592,NA
"TD","RSTD",25,68.61,-196.16,398.32,409.98,0.870058757020161,0.327183235902339,0.789663642512634,0.794342321110889,0.115994156289845,NA
"TD","RSTD",26,58.89,-217.71,441.42,453.08,0.0660558908712119,1.97567781611326,0.82148963849619,0.758034680623189,0.0494216652680184,NA
"TD","RSTD",27,75.56,-186.61,379.22,390.88,0.973287776112556,0.260513227898628,0.718240086850524,0.858123306136727,0.268099251233935,NA
"TD","RSTD",28,77.78,-178.94,363.88,375.54,0.290595552418381,1.05573849655212,0.541502492874861,0.296025329688564,0.50593522307463,NA
"TD","RSTD",29,70.56,-197.86,401.72,413.38,0.988910319516435,0.211397308856249,0.979888080766559,0.924186978180111,0.155959608041048,NA
"TD","RSTD",30,79.72,-170.97,347.94,359.6,0.329378831898794,2.0851063261411,0.541502492874861,0.296025329688564,0.50593522307463,NA
"TD","RSTD",31,59.44,-215.32,436.64,448.3,0.11878991080448,0.835414388175023,0.413724326295778,0.343516472261399,0.0523355591576546,NA
"TD","RSTD",32,56.94,-224.34,454.68,466.34,0.0508385861758143,0.410096168983728,0.413724326295778,0.343516472261399,0.0523355591576546,NA
"TD","RSTD",33,82.78,-173.42,352.84,364.5,0.684979062527418,0.756628525771442,0.456614735303447,0.569086076170206,0.599093766978011,NA
"TD","RSTD",34,62.5,-233.16,472.32,483.98,0.842564480379224,0.0599249633960426,0.413724326295778,0.343516472261399,0.0523355591576546,NA
"TD","RSTD",35,83.33,-157.96,321.92,333.58,0.27115519088693,2.69503675574873,0.456614735303447,0.374462775886059,0.735473454697058,NA
"TD","RSTD",36,67.22,-206.19,418.38,430.04,0.779200294986367,0.457588243763894,0.832680082584173,0.758034680623189,0.156054642396047,NA
"TD","RSTD",37,96.94,-140.27,286.54,298.2,0.982565350597724,3.92570209977795,0.147113647311926,0.954413626575843,3.45003550755791,NA
"TD","RSTD",38,69.17,-207.47,420.94,432.6,0.533772448310629,0.225168376229703,0.546682389381826,0.717584817449749,0.199188060821592,NA
"TD","RSTD",39,77.22,-177.53,361.06,372.72,0.128862570039928,1.75030500992181,0.469162890946493,0.372258302764967,0.362121672201902,NA
"TD","RSTD",40,62.5,-222.89,451.78,463.44,0.420502026332542,0.0828633031448371,0.413724326295778,0.343516472261399,0.0523355591576546,NA
"TD","RSTD",41,81.94,-163.44,332.88,344.54,0.860091791022569,1.2001721150753,0.59414202044718,0.612771003274247,0.455219999421388,NA
"TD","RSTD",42,70,-197.71,401.42,413.08,0.633000507717952,0.316391955215622,0.800721718097106,0.794342321110889,0.145668029326945,NA
"TD","RSTD",43,88.06,-141.86,289.72,301.38,0.512010124279186,2.01376353887389,0.466389212897047,0.379816537722945,0.771011504111812,NA
"TD","RSTD",44,86.94,-137.36,280.72,292.38,0.4054856733419,3.89528230370438,0.466389212897047,0.379816537722945,0.771011504111812,NA
"TD","RSTD",45,66.11,-211.75,429.5,441.16,0.319981756620109,0.264156529679894,0.640506813768297,0.710182401351631,0.0952708148128,NA
"TD","RSTD",46,89.72,-148.12,302.24,313.9,0.947748523205519,1.36391219958187,0.456614735303447,0.885525033287704,0.845227307779714,NA
"TD","RSTD",47,83.89,-160.37,326.74,338.4,0.885661983396858,1.4762263855988,0.660513881128281,0.888657701954916,0.60142522363089,NA
"TD","RSTD",48,61.11,-225.52,457.04,468.7,0.119032545015216,0.210982074495405,0.413724326295778,0.343516472261399,0.0523355591576546,NA
"TD","RSTD",49,82.22,-163.55,333.1,344.76,0.931592519162223,0.648705839645118,0.694356926903129,0.999450856378675,0.458566370770216,NA
"TD","RSTD",50,84.72,-141.71,289.42,301.08,0.753800751408562,2.89878896835935,0.808088171249256,0.612771003274247,0.455219999421388,NA
"TD","Utility",1,81.94,-184.45,374.9,386.56,0.643091264180839,0.83357874206723,0.817779980532825,0.862958434905857,0.998239472145215,NA
"TD","Utility",2,92.78,-164.76,335.52,347.18,0.724670132622123,1.43561604238095,0.842149594146758,0.751162796029821,3.30256940564141,NA
"TD","Utility",3,94.17,-126.96,259.92,271.58,0.950232450617477,2.03779015681686,0.896587244234979,0.98734770603478,1.90121081890538,NA
"TD","Utility",4,61.67,-222.74,451.48,463.14,0.682289758697152,0.0720224548131227,0.373482898650691,0.351797909243032,0.709534538909793,NA
"TD","Utility",5,73.89,-208.82,423.64,435.3,0.200363578274846,1.00568439900399,0.80689954617992,0.991831016261131,0.333744867239147,NA
"TD","Utility",6,64.72,-210.24,426.48,438.14,0.321220333920792,0.298665664158762,0.59414202044718,0.612771003274247,0.455219999421388,NA
"TD","Utility",7,59.17,-241.16,488.32,499.98,0.571441247593611,0.0502132950350642,0.472940309531987,0.625347905885387,0.135692225003178,NA
"TD","Utility",8,68.89,-207.01,420.02,431.68,0.973066303646192,0.392999498639256,0.725196218587458,0.896587244234979,0.223498294659853,NA
"TD","Utility",9,52.22,-272.02,550.04,561.7,0.895209939451888,0.0054737395918251,0.45096717171371,0.237081929305568,0.062513678567484,NA
"TD","Utility",10,60.28,-226.38,458.76,470.42,0.0494146177079529,0.507862410508096,0.13880606344901,0.187691119266674,1.15580891026184,NA
"TD","Utility",11,60,-218.52,443.04,454.7,0.197620301274583,0.18983699940145,0.287577520124614,0.0458311666734517,2.27627609664574,NA
"TD","Utility",12,60,-223.78,453.56,465.22,0.0560640415642411,0.566026730462909,0.13880606344901,0.187691119266674,1.15580891026184,NA
"TD","Utility",13,61.67,-223.74,453.48,465.14,0.051307131536305,1.23247370731968,0.142800022382289,0.130695691565052,1.55851101037115,NA
"TD","Utility",14,71.67,-196.6,399.2,410.86,0.989872474921867,0.208000437050192,0.854066865901277,0.794342321110889,0.4546033086963,NA
"TD","Utility",15,67.22,-198.95,403.9,415.56,0.711294803768396,0.57632797351107,0.401266032348275,0.975022802594304,0.223805684120953,NA
"TD","Utility",16,50,-270.73,547.46,559.12,0.0768930825870484,0.00966986734420061,0.45096717171371,0.237081929305568,0.062513678567484,NA
"TD","Utility",17,92.22,-159.23,324.46,336.12,0.797194604296237,2.5054881726885,0.816019856117565,0.80689954617992,2.07109566395171,NA
"TD","Utility",18,92.5,-167.67,341.34,353,0.731893435353413,1.27495420533688,0.842149594146758,0.751162796029821,3.30256940564141,NA
"TD","Utility",19,81.67,-198.77,403.54,415.2,0.809085062006488,0.797056699129653,0.770204092904925,0.851969322282821,1.12937673879787,NA
"TD","Utility",20,89.72,-192.57,391.14,402.8,0.511981163173914,2.39124982816227,0.4089769218117,0.798924845643342,2.44306516833603,NA
"TD","Utility",21,87.5,-147.58,301.16,312.82,0.226354157319292,1.66897989056053,0.397026571735346,0.907596506550908,1.19549977825955,NA
"TD","Utility",22,79.17,-191.13,388.26,399.92,0.300222688354552,0.955442077438247,0.424289116339758,0.726368925545365,2.02255140873604,NA
"TD","Utility",23,94.17,-126.96,259.92,271.58,0.984172471100464,1.69604673600736,0.896587244234979,0.98734770603478,1.90121081890538,NA
"TD","Utility",24,65.56,-209.38,424.76,436.42,0.540354023920372,0.234106497689865,0.459551500408798,0.522299605654553,0.676182410858944,NA
"TD","Utility",25,75.56,-201.6,409.2,420.86,0.870058757020161,0.327183235902339,0.959519802033901,0.740595425758511,0.965502269100398,NA
"TD","Utility",26,58.89,-214.8,435.6,447.26,0.0660558908712119,1.97567781611326,0.758650951641672,0.896587244234979,0.106074943783142,NA
"TD","Utility",27,68.06,-198.71,403.42,415.08,0.973287776112556,0.260513227898628,0.883017404004931,0.839681730857119,0.191733999643475,NA
"TD","Utility",28,79.17,-187.38,380.76,392.42,0.290595552418381,1.05573849655212,0.424289116339758,0.726368925545365,2.02255140873604,NA
"TD","Utility",29,71.67,-196.6,399.2,410.86,0.988910319516435,0.211397308856249,0.854066865901277,0.794342321110889,0.4546033086963,NA
"TD","Utility",30,80.56,-178.05,362.1,373.76,0.329378831898794,2.0851063261411,0.424289116339758,0.726368925545365,2.02255140873604,NA
"TD","Utility",31,64.44,-205.18,416.36,428.02,0.11878991080448,0.835414388175023,0.454791104801415,0.866994808442891,0.242344450077302,NA
"TD","Utility",32,61.11,-222.14,450.28,461.94,0.0508385861758143,0.410096168983728,0.13880606344901,0.187691119266674,1.15580891026184,NA
"TD","Utility",33,76.94,-173.5,353,364.66,0.684979062527418,0.756628525771442,0.432430869999229,0.986306732171327,0.372857070211634,NA
"TD","Utility",34,64.17,-233.1,472.2,483.86,0.842564480379224,0.0599249633960426,0.102924682665616,0.814640038879588,0.0947749212384223,NA
"TD","Utility",35,84.72,-180.84,367.68,379.34,0.27115519088693,2.69503675574873,0.300466356536001,0.760661733778462,2.70460678637028,NA
"TD","Utility",36,63.89,-205.12,416.24,427.9,0.779200294986367,0.457588243763894,0.420783053237945,0.880717323975638,0.206641685506329,NA
"TD","Utility",37,94.17,-126.96,259.92,271.58,0.982565350597724,3.92570209977795,0.896587244234979,0.98734770603478,1.90121081890538,NA
"TD","Utility",38,67.78,-205.85,417.7,429.36,0.533772448310629,0.225168376229703,0.640506813768297,0.710182401351631,0.433692659973664,NA
"TD","Utility",39,61.67,-207.53,421.06,432.72,0.128862570039928,1.75030500992181,0.660513881128281,0.880717323975638,0.174119120677933,NA
"TD","Utility",40,61.11,-224.02,454.04,465.7,0.420502026332542,0.0828633031448371,0.402649036608636,0.802243969636038,0.137771066522226,NA
"TD","Utility",41,82.22,-169.97,345.94,357.6,0.860091791022569,1.2001721150753,0.758459537522867,0.840689143547788,0.97904600459151,NA
"TD","Utility",42,71.67,-194.19,394.38,406.04,0.633000507717952,0.316391955215622,0.693713470318169,0.943806260076538,0.292464785767719,NA
"TD","Utility",43,89.72,-192.57,391.14,402.8,0.512010124279186,2.01376353887389,0.4089769218117,0.798924845643342,2.44306516833603,NA
"TD","Utility",44,88.61,-185.78,377.56,389.22,0.4054856733419,3.89528230370438,0.4089769218117,0.798924845643342,2.44306516833603,NA
"TD","Utility",45,67.78,-207.42,420.84,432.5,0.319981756620109,0.264156529679894,0.59414202044718,0.612771003274247,0.455219999421388,NA
"TD","Utility",46,93.89,-133.44,272.88,284.54,0.947748523205519,1.36391219958187,0.896587244234979,0.98734770603478,1.90121081890538,NA
"TD","Utility",47,93.89,-142.57,291.14,302.8,0.885661983396858,1.4762263855988,0.896587244234979,0.98734770603478,1.90121081890538,NA
"TD","Utility",48,61.67,-220.36,446.72,458.38,0.119032545015216,0.210982074495405,0.596260638749227,0.187691119266674,1.15580891026184,NA
"TD","Utility",49,78.61,-178.72,363.44,375.1,0.931592519162223,0.648705839645118,0.776709087193012,0.996926717862532,0.383455826668069,NA
"TD","Utility",50,92.22,-159.23,324.46,336.12,0.753800751408562,2.89878896835935,0.816019856117565,0.80689954617992,2.07109566395171,NA
"RSTD","TD",1,93.89,-133.01,270.02,277.79,0.285107890376821,0.724670132622123,0.896070680953562,1.77634091046639,NA,1.43561604238095
"RSTD","TD",2,67.78,-185.8,375.6,383.37,0.950232450617477,0.206436974462122,0.0545781054031104,0.134339176975191,NA,0.364579517394304
"RSTD","TD",3,81.94,-158.48,320.96,328.73,0.536011227406561,0.200363578274846,0.285250909288171,0.738790409056023,NA,1.00568439900399
"RSTD","TD",4,63.33,-220.54,445.08,452.85,0.321220333920792,0.649332832079381,0.147113647311926,0.0785442762596161,NA,0.142882495187223
"RSTD","TD",5,68.33,-210.37,424.74,432.51,0.525106647517532,0.973066303646192,0.651829779762775,0.187097935611382,NA,0.392999498639256
"RSTD","TD",6,94.17,-126.6,257.2,264.97,0.895209939451888,0.943225271301344,0.896070680953562,1.77634091046639,NA,3.35385648889427
"RSTD","TD",7,71.67,-193.46,390.92,398.69,0.753931205254048,0.197620301274583,0.414546335814521,0.292274359473959,NA,0.18983699940145
"RSTD","TD",8,58.89,-224.71,453.42,461.19,0.0560640415642411,0.783013365231454,0.521441754447296,0.0645305339246988,NA,3.41441693140154
"RSTD","TD",9,63.33,-209.79,423.58,431.35,0.479448032099754,0.989872474921867,0.287577520124614,0.0996197619102895,NA,0.208000437050192
"RSTD","TD",10,89.17,-137.9,279.8,287.57,0.711294803768396,0.788163986755535,0.729213791899383,0.754299798049033,NA,2.30973086307261
"RSTD","TD",11,94.44,-143.3,290.6,298.37,0.5048349336721,0.797194604296237,0.896070680953562,1.77634091046639,NA,2.5054881726885
"RSTD","TD",12,72.22,-193.08,390.16,397.93,0.731893435353413,0.395451756194234,0.287577520124614,0.333745716933161,NA,0.618170124012977
"RSTD","TD",13,89.17,-137.9,279.8,287.57,0.275977379642427,0.511981163173914,0.729213791899383,0.754299798049033,NA,2.39124982816227
"RSTD","TD",14,81.11,-169.07,342.14,349.91,0.226354157319292,0.16033569118008,0.339829565940201,0.639535520840063,NA,0.894037933978152
"RSTD","TD",15,94.17,-126.6,257.2,264.97,0.315573724219576,0.984172471100464,0.896070680953562,1.77634091046639,NA,1.69604673600736
"RSTD","TD",16,70,-200.09,404.18,411.95,0.540354023920372,0.854036244563758,0.651829779762775,0.187097935611382,NA,0.362152148856662
"RSTD","TD",17,98.06,-100.79,205.58,213.35,0.66359161795117,0.0660558908712119,0.0427901358802319,1.3239222123328,NA,1.97567781611326
"RSTD","TD",18,67.5,-197.17,398.34,406.11,0.973287776112556,0.630256613949314,0.489237285684794,0.231630258448422,NA,0.855529390233469
"RSTD","TD",19,67.5,-209.73,423.46,431.23,0.340647828998044,0.988910319516435,0.406272720731795,0.165600211592391,NA,0.211397308856249
"RSTD","TD",20,98.06,-100.79,205.58,213.35,0.329378831898794,0.0628540490288287,0.0427901358802319,1.3239222123328,NA,2.33967715737489
"RSTD","TD",21,76.39,-195.8,395.6,403.37,0.285566801903769,0.0508385861758143,0.0756164886988699,0.386729810634628,NA,0.410096168983728
"RSTD","TD",22,75.28,-182.5,369,376.77,0.684979062527418,0.438995202770457,0.414546335814521,0.36318917860277,NA,0.685128960758448
"RSTD","TD",23,94.17,-131.91,267.82,275.59,0.529962481698021,0.27115519088693,0.368845450924709,1.4654941616971,NA,2.69503675574873
"RSTD","TD",24,66.67,-206.99,417.98,425.75,0.779200294986367,0.728794121881947,0.489237285684794,0.180785761028528,NA,0.160821524456017
"RSTD","TD",25,63.61,-226.01,456.02,463.79,0.0281218434683979,0.533772448310629,0.432588421739638,0.0531361151952296,NA,0.225168376229703
"RSTD","TD",26,71.11,-201.3,406.6,414.37,0.128862570039928,0.17050133110024,0.311475982147455,0.333084301622584,NA,1.37515528589011
"RSTD","TD",27,95,-150.41,304.82,312.59,0.980796684976667,0.860091791022569,0.896070680953562,1.77634091046639,NA,1.2001721150753
"RSTD","TD",28,58.33,-261.77,527.54,535.31,0.633000507717952,0.959949327167124,0.48621757247448,0.0189741692133248,NA,0.0240202485583723
"RSTD","TD",29,88.61,-154.87,313.74,321.51,0.234798390883952,0.4054856733419,0.349170074421689,0.793937316522375,NA,3.89528230370438
"RSTD","TD",30,60.28,-237.88,479.76,487.53,0.319981756620109,0.632078264839947,0.414546335814521,0.0406355069670826,NA,0.0559587455590604
"RSTD","TD",31,94.17,-126.6,257.2,264.97,0.417691254755482,0.885661983396858,0.896070680953562,1.77634091046639,NA,1.4762263855988
"RSTD","TD",32,59.72,-239.3,482.6,490.37,0.119032545015216,0.605491037247702,0.147113647311926,0.0268302321297674,NA,0.0459982767437321
"RSTD","TD",33,89.17,-137.9,279.8,287.57,0.824352919822559,0.753800751408562,0.729213791899383,0.754299798049033,NA,2.89878896835935
"RSTD","TD",34,57.78,-225.17,454.34,462.11,0.080542077543214,0.69156481907703,0.414546335814521,0.0406355069670826,NA,3.2510444371212
"RSTD","TD",35,73.06,-183.01,370.02,377.79,0.788759883260354,0.407168375095353,0.287577520124614,0.339597327862531,NA,0.8810732345608
"RSTD","TD",36,69.72,-194.82,393.64,401.41,0.960197768406942,0.814909122884274,0.437177059803158,0.192765047367662,NA,0.491239995229989
"RSTD","TD",37,68.33,-201.13,406.26,414.03,0.983733647270128,0.387793875532225,0.216407935833558,0.242426942298561,NA,0.184212701395154
"RSTD","TD",38,84.72,-145.63,295.26,303.03,0.640330957481638,0.661732341628522,0.708530468167737,0.496258363546804,NA,1.1015722423634
"RSTD","TD",39,95,-150.41,304.82,312.59,0.591888564871624,0.781977394130081,0.896070680953562,1.77634091046639,NA,1.17335850927503
"RSTD","TD",40,61.94,-220.49,444.98,452.75,0.185236022341996,0.927017299691215,0.512712996499613,0.0645305339246988,NA,0.406216487288475
"RSTD","TD",41,87.22,-163.26,330.52,338.29,0.5952471755445,0.540940156206489,0.354246039642021,0.776396083645523,NA,1.71158919288757
"RSTD","TD",42,65,-214.67,433.34,441.11,0.265401779906824,0.195171546889469,0.147113647311926,0.0932144057415871,NA,0.226954524639678
"RSTD","TD",43,58.33,-237.83,479.66,487.43,0.604935176437721,0.398145136190578,0.0455564993899316,0.0319845000346857,NA,0.0485801249742508
"RSTD","TD",44,68.33,-195.48,394.96,402.73,0.470244030002505,0.685449249343947,0.437177059803158,0.192765047367662,NA,0.648697707336396
"RSTD","TD",45,67.5,-207.32,418.64,426.41,0.371720403432846,0.503097830805928,0.406272720731795,0.165600211592391,NA,0.322839245665818
"RSTD","TD",46,63.61,-213.6,431.2,438.97,0.361050225095823,0.370053818682209,0.287577520124614,0.111085407529026,NA,0.173567070005157
"RSTD","TD",47,95,-150.41,304.82,312.59,0.594613759312779,0.789667062694207,0.896070680953562,1.77634091046639,NA,2.04544003671947
"RSTD","TD",48,98.06,-100.79,205.58,213.35,0.628910263301805,0.0369398219045252,0.0427901358802319,1.3239222123328,NA,1.35408596597136
"RSTD","TD",49,81.94,-157.29,318.58,326.35,0.254382238723338,0.857857148861513,0.882624627836049,0.469872584799305,NA,0.936107955831003
