"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"Utility","75",92.5,106.2,218.4,230.06,4.8349565546205e-08,0.917259733856847,1.06546109484922
"Utility","76",57.78,227.66,461.32,472.98,7.53097800763029e-08,0.417315360080231,0.215185245492131
"Utility","77",57.78,226.69,459.38,471.04,0.152679483555265,0.675098793782954,0.236877658225859
"Utility","78",93.33,117.04,240.08,251.74,1.03518957529343e-05,0.868816579458143,1.51726464715924
"Utility","79",91.94,111.91,229.82,241.48,6.54888135178318e-09,0.699442458193528,2.95031334743444
"Utility","80",84.17,100.1,206.2,217.86,1.92872410052284e-08,0.811602198477557,1.28790394168196
"Utility","81",94.44,127.04,260.08,271.74,9.89275601269286e-08,0.95812134895677,1.12324587999034
"Utility","82",95.28,126.35,258.7,270.36,5.48795408728351e-08,0.84541835150041,1.91663173744382
"Utility","83",88.61,163.23,332.46,344.12,4.94515330572907e-06,0.999999799451919,0.660175293924151
"Utility","84",96.67,73.3,152.6,164.26,1.9169127522952e-08,0.888640993867279,1.6914134655856
"Utility","85",54.17,232.07,470.14,481.8,0.245458210066066,0.436000613129811,0.147834446958707
"Utility","86",97.78,23.12,52.24,63.9,5.03643554562104e-08,0.725270868196834,4.00279928876413
"Utility","87",56.94,243.59,493.18,504.84,1.10764330477334e-06,0.543214502901079,0.167600452263175
"Utility","88",57.78,241.38,488.76,500.42,0.244738113240175,0.399839406333808,0.296340398053502
"Utility","89",86.67,111.54,229.08,240.74,1.37338604131341e-08,0.449771038195525,9.50923641877476
"Utility","90",61.67,206.55,419.1,430.76,1.69623840061781e-07,0.707797406090237,0.169581947305962
"Utility","91",61.94,224.29,454.58,466.24,5.11305005172885e-08,0.660478568253154,0.215576798009247
"Utility","92",55.56,240.24,486.48,498.14,1.00739636951904e-07,0.543366921695027,0.23734001295149
"Utility","93",58.06,209.27,424.54,436.2,2.53008859210892e-07,0.631684922904371,0.154861950176067
"Utility","94",98.89,13.29,32.58,44.24,1.01668107598731e-07,0.995445281829933,1.25398460271814
"Utility","95",77.22,243.44,492.88,504.54,2.32910423209147e-07,0.770141985002731,1.09946692627533
"Utility","96",55.56,222.83,451.66,463.32,1.87001467006832e-06,0.491024733599106,0.17861563890926
"Utility","97",90,111.79,229.58,241.24,5.32397077977294e-08,0.801071066384021,1.78613402589714
"Utility","98",54.72,239.7,485.4,497.06,1.28122836987624e-08,0.201387744870903,0.647446967718608
"Utility","99",93.06,120.26,246.52,258.18,3.44577332727086e-09,0.892377328034339,1.29208438304491
