"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"TD","79",50.83,256.95,517.9,525.67,0.994269776623696,0.00624773325398564,NA
"TD","80",81.67,154.69,313.38,321.15,0.0246136845089495,1.02864644257352,NA
"TD","81",85.28,145.85,295.7,303.47,0.0246136845089495,1.02864644257352,NA
"TD","82",79.44,195.98,395.96,403.73,0.0246136845089495,1.02864644257352,NA
"TD","83",78.61,233.24,470.48,478.25,0.0246136845089495,1.02864644257352,NA
"TD","84",82.78,136.66,277.32,285.09,0.0246136845089495,1.02864644257352,NA
"TD","85",54.17,259.83,523.66,531.43,0.994269776623696,0.00624773325398564,NA
"TD","86",80.56,158.43,320.86,328.63,0.0246136845089495,1.02864644257352,NA
"TD","87",49.72,259.35,522.7,530.47,0.994269776623696,0.00624773325398564,NA
"TD","88",51.94,257.73,519.46,527.23,0.994269776623696,0.00624773325398564,NA
"TD","89",51.39,257.16,518.32,526.09,0.994269776623696,0.00624773325398564,NA
"TD","90",51.94,257.37,518.74,526.51,0.994269776623696,0.00624773325398564,NA
"TD","91",48.89,259.29,522.58,530.35,0.994269776623696,0.00624773325398564,NA
"TD","92",53.61,236.54,477.08,484.85,0.994269776623696,0.00624773325398564,NA
"TD","93",46.94,260.37,524.74,532.51,0.994269776623696,0.00624773325398564,NA
"TD","94",85.83,58.92,121.84,129.61,0.0246136845089495,1.02864644257352,NA
"TD","95",51.67,281.89,567.78,575.55,0.994269776623696,0.00624773325398564,NA
"TD","96",48.61,262.7,529.4,537.17,0.994269776623696,0.00624773325398564,NA
"TD","97",82.5,142.62,289.24,297.01,0.0246136845089495,1.02864644257352,NA
"TD","98",51.39,259.72,523.44,531.21,0.994269776623696,0.00624773325398564,NA
"TD","99",78.61,162.81,329.62,337.39,0.0246136845089495,1.02864644257352,NA
"TD","100",81.39,267.59,539.18,546.95,0.0246136845089495,1.02864644257352,NA
"TD","101",50.83,281.67,567.34,575.11,0.994269776623696,0.00624773325398564,NA
"TD","102",50,236.43,476.86,484.63,0.994269776623696,0.00624773325398564,NA
"TD","103",86.11,161.35,326.7,334.47,0.0246136845089495,1.02864644257352,NA
"TD","104",86.67,130.64,265.28,273.05,0.0246136845089495,1.02864644257352,NA
"TD","105",48.33,233.51,471.02,478.79,0.994269776623696,0.00624773325398564,NA
"TD","106",79.72,152,308,315.77,0.0246136845089495,1.02864644257352,NA
"TD","107",81.67,122.25,248.5,256.27,0.0246136845089495,1.02864644257352,NA
"TD","108",76.94,212.98,429.96,437.73,0.0246136845089495,1.02864644257352,NA
"TD","109",70.83,243.15,490.3,498.07,0.0246136845089495,1.02864644257352,NA
"TD","110",87.5,85.65,175.3,183.07,0.0246136845089495,1.02864644257352,NA
"TD","111",84.72,140.33,284.66,292.43,0.0246136845089495,1.02864644257352,NA
"TD","113",81.94,148.62,301.24,309.01,0.0246136845089495,1.02864644257352,NA
"TD","114",75,174.68,353.36,361.13,0.0246136845089495,1.02864644257352,NA
"TD","115",49.72,235.81,475.62,483.39,0.994269776623696,0.00624773325398564,NA
"TD","116",51.11,255.66,515.32,523.09,0.994269776623696,0.00624773325398564,NA
"TD","117",49.44,233.6,471.2,478.97,0.994269776623696,0.00624773325398564,NA
"TD","118",49.17,233.48,470.96,478.73,0.994269776623696,0.00624773325398564,NA
"TD","119",75.28,191.03,386.06,393.83,0.0246136845089495,1.02864644257352,NA
