"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"RSTD","93",55.56,243,492,503.66,0.148987129330635,0.267878249287605,0.0236400019140244
"RSTD","94",99.17,12.66,31.32,42.98,0.0509041303216691,0.858363042061683,1.61722435797265
"RSTD","95",59.17,257.32,520.64,532.3,0.45464297599392,0.750105053186417,0.0463153132333489
"RSTD","96",59.72,261.45,528.9,540.56,1e-05,1e-05,0.0933162907037463
"RSTD","97",90.83,89.1,184.2,195.86,0.00398565786959602,1e-05,1.10752269834674
"RSTD","98",54.72,243.09,492.18,503.84,0.807734362781048,0.722420275211334,0.0236410019140244
"RSTD","99",93.06,96.43,198.86,210.52,0.0575894481298747,0.373273695353419,1.03234626446681
"RSTD","100",92.5,228.33,462.66,474.32,0.0254769199091243,0.169979465125834,1.16619684829629
"RSTD","101",62.5,264.67,535.34,547,0.260286888107657,0.750842947512865,0.0687414826492865
"RSTD","102",91.11,179.52,365.04,376.7,0.0472793504159199,0.34997340105474,0.904179028994784
"RSTD","103",93.33,128.4,262.8,274.46,0.0149407826829702,0.173080570995808,0.944970300661564
"RSTD","104",97.78,73.68,153.36,165.02,0.0323992967605591,0.998647004365921,1.20811539608985
"RSTD","105",56.67,203.72,413.44,425.1,0.44396711140871,0.640521050430834,0.0396178609344877
"RSTD","106",89.72,109.77,225.54,237.2,0.0408190162524988,0.265366528010418,0.806003511296335
"RSTD","107",70.56,148.52,303.04,314.7,0.0392140217039836,0.0517480857670307,0.62941237424922
"RSTD","108",58.33,201.73,409.46,421.12,0.142717655398883,0.16154987178561,0.0615037805857658
"RSTD","109",58.61,221.43,448.86,460.52,0.132754639373161,0.0191150531172752,0.105264550781041
"RSTD","110",96.67,48.3,102.6,114.26,0.0350759618449956,0.278226256370544,1.10004221137273
"RSTD","111",92.78,106.77,219.54,231.2,0.0523954601464721,0.187922582030296,1.19766539245164
"RSTD","113",92.5,95.08,196.16,207.82,0.0462177318107225,0.980132238706574,0.987113490205957
"RSTD","114",88.06,130.7,267.4,279.06,0.0413577034778427,0.104238167696167,1.19765939245164
"RSTD","115",57.22,208.88,423.76,435.42,0.962372477093595,0.345510348677635,0.0314492534417944
"RSTD","116",62.22,217.34,440.68,452.34,0.65306125022471,0.827044146135449,0.0506677750843807
"RSTD","117",55,200.08,406.16,417.82,0.117249950766563,0.155172135680914,0.0580128952860832
"RSTD","118",92.78,98.19,202.38,214.04,0.00161805869466633,1e-05,1.10622837529146
