"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"TD","79",60.83,231.71,467.42,475.19,0.659269676460443,0.0350646677620235,NA
"TD","80",81.11,139.44,282.88,290.65,0.00599964816008915,0.717069554302952,NA
"TD","81",93.06,157.56,319.12,326.89,0.0166041984187834,3.34282101520605,NA
"TD","82",93.61,127.05,258.1,265.87,0,0.934049351504776,NA
"TD","83",88.33,140.2,284.4,292.17,0,0.659832813168993,NA
"TD","84",97.5,185.59,375.18,382.95,1e-05,10,NA
"TD","85",59.17,234.35,472.7,480.47,0,0.0393367605445763,NA
"TD","86",98.06,139.54,283.08,290.85,1e-05,10,NA
"TD","87",56.94,235.85,475.7,483.47,0,0.0381185557198732,NA
"TD","88",63.06,234.87,473.74,481.51,0.072503144318987,0.0437367999436212,NA
"TD","89",51.11,271.17,546.34,554.11,1e-05,9.99999983520754e-06,NA
"TD","90",60.28,227.25,458.5,466.27,0,0.052007321546057,NA
"TD","91",80.83,220.69,445.38,453.15,0,0.499266002704053,NA
"TD","92",52.22,248.15,500.3,508.07,1e-05,9.99999997846653e-06,NA
"TD","93",58.33,225.41,454.82,462.59,0,0.055469592921183,NA
"TD","94",99.17,47.44,98.88,106.65,1e-05,10,NA
"TD","95",65.83,235.36,474.72,482.49,0,0.12517122560313,NA
"TD","96",56.11,240.79,485.58,493.35,0,0.0328431533628287,NA
"TD","97",89.72,85.39,174.78,182.55,0.00522677432057207,0.904410436663803,NA
"TD","98",60.83,226.55,457.1,464.87,0,0.0549383881198708,NA
"TD","99",91.94,97.27,198.54,206.31,0,0.801622902995789,NA
"TD","100",88.33,218.36,440.72,448.49,0,0.744381747010731,NA
"TD","101",52.5,261.49,526.98,534.75,0.139087029158724,0.0378375552029008,NA
"TD","102",91.11,182.83,369.66,377.43,0,0.826825180328455,NA
"TD","103",93.61,129.94,263.88,271.65,0,0.896919790259761,NA
"TD","104",98.06,161.87,327.74,335.51,1e-05,10,NA
"TD","105",55.83,248.15,500.3,508.07,1e-05,1e-05,NA
"TD","106",85.83,106.07,216.14,223.91,0,0.59396201801961,NA
"TD","107",83.61,118.56,241.12,248.89,0.0310838729822356,1.07139926436429,NA
"TD","108",77.22,145.48,294.96,302.73,0,0.431969545679916,NA
"TD","109",69.44,198.79,401.58,409.35,0.0179688770977665,0.475338440150694,NA
"TD","110",98.06,138.85,281.7,289.47,1e-05,10,NA
"TD","111",83.06,135.37,274.74,282.51,0.0154386541695077,0.844592532223891,NA
"TD","113",88.33,88.83,181.66,189.43,0,0.684270018354374,NA
"TD","114",83.61,111.36,226.72,234.49,0,0.564880632229494,NA
"TD","115",57.78,219.01,442.02,449.79,0.013692572160248,0.0295315174998544,NA
"TD","116",49.44,271.17,546.34,554.11,1e-05,9.99999858778752e-06,NA
"TD","117",66.39,171.16,346.32,354.09,0,0.228856845914529,NA
"TD","118",87.78,86.04,176.08,183.85,0,0.711154457334465,NA
"TD","119",98.89,70.46,144.92,152.69,1e-05,10,NA
"TD","120",90,77.21,158.42,166.19,0,0.752663146571707,NA
"TD","121",74.44,171.18,346.36,354.13,0.0402529422189827,0.555532197634453,NA
"TD","122",80.28,181.83,367.66,375.43,0,0.473004151287939,NA
"TD","123",82.78,223.57,451.14,458.91,0,0.578199252211732,NA
