simulate_model,fit_model,iteration,ACC,LogL,LogPr,LogPo,AIC,BIC,input_param_1,input_param_2,input_param_3,output_param_1,output_param_2,output_param_3
TD,TD,47,100,-84.65,NA,NA,173.3,181.07,0.885661983,1.476226386,NA,0.861777272,1.719860094,NA
TD,TD,48,100,-218.73,NA,NA,441.46,449.23,0.119032545,0.210982074,NA,0.416230599,0.057121924,NA
TD,TD,49,100,-137.21,NA,NA,278.42,286.19,0.931592519,0.64870584,NA,0.844398489,0.573952653,NA
TD,TD,50,100,-77.84,NA,NA,159.68,167.45,0.753800751,2.898788968,NA,0.837979776,1.606577856,NA
TD,TD,51,100,-224.33,NA,NA,452.66,460.43,0.080542078,0.383129638,NA,0.2141739,0.070966227,NA
TD,TD,52,100,-221.25,NA,NA,446.5,454.27,0.046201741,0.577519767,NA,0.146479459,0.077853477,NA
TD,TD,53,100,-121.82,NA,NA,247.64,255.41,0.407168375,0.881073235,NA,0.288954878,0.668991543,NA
TD,TD,54,100,-144.79,NA,NA,293.58,301.35,0.960197768,0.629818246,NA,0.880972147,0.56104258,NA
TD,TD,55,100,-197.98,NA,NA,399.96,407.73,0.745619998,0.083828922,NA,0.788769462,0.06729808,NA
TD,TD,56,100,-192.07,NA,NA,388.14,395.91,0.387793876,0.184212701,NA,0.469935469,0.138950544,NA
TD,TD,57,100,-189.01,NA,NA,382.02,389.79,0.640330957,0.323464683,NA,0.574008559,0.200845256,NA
TD,TD,58,100,-191.44,NA,NA,386.88,394.65,0.466265497,0.18377713,NA,0.5557601,0.136295146,NA
TD,TD,59,100,-77.84,NA,NA,159.68,167.45,0.781977394,1.173358509,NA,0.837979776,1.606577856,NA
TD,TD,60,100,-214.78,NA,NA,433.56,441.33,0.185236022,0.162097268,NA,0.394950349,0.064382443,NA
TD,TD,61,100,-190.71,NA,NA,385.42,393.19,0.703108244,0.190494351,NA,0.583783493,0.124640356,NA
TD,TD,62,100,-94.44,NA,NA,192.88,200.65,0.540940156,1.711589193,NA,0.337408077,1.175771278,NA
TD,TD,63,100,-96.68,NA,NA,197.36,205.13,0.26540178,1.947666736,NA,0.243110848,1.10051413,NA
